laporan_id,koperasi_id,periode,tanggal_submit,persen_kelengkapan
LAP-000038,KDMP-00007,2026-04,2026-04-01,64.4
LAP-000039,KDMP-00007,2026-05,2026-05-06,67.1
LAP-000040,KDMP-00007,2026-06,2026-06-02,80.1
LAP-000041,KDMP-00007,2026-07,2026-07-01,75.3
LAP-000042,KDMP-00007,2026-08,2026-08-04,94.1
LAP-000043,KDMP-00008,2026-03,2026-03-09,66.3
LAP-000044,KDMP-00008,2026-04,2026-04-02,68.1
LAP-000045,KDMP-00008,2026-05,2026-05-01,88.4
LAP-000046,KDMP-00008,2026-06,2026-06-10,95.5
LAP-000047,KDMP-00008,2026-07,2026-07-03,98.2
LAP-000048,KDMP-00008,2026-08,2026-08-01,100
LAP-000049,KDMP-00009,2026-03,2026-03-06,41.5
LAP-000050,KDMP-00009,2026-04,2026-04-09,65.0
LAP-000051,KDMP-00009,2026-05,2026-05-05,62.3
LAP-000052,KDMP-00009,2026-06,2026-06-01,71.5
LAP-000053,KDMP-00009,2026-07,2026-07-09,79.7
LAP-000054,KDMP-00009,2026-08,2026-08-03,77.4
LAP-000055,KDMP-00010,2026-03,2026-03-03,87.8
LAP-000056,KDMP-00010,2026-04,2026-04-06,92.2
LAP-000057,KDMP-00010,2026-05,2026-05-07,81.8
LAP-000058,KDMP-00010,2026-06,2026-06-07,85.6
LAP-000059,KDMP-00010,2026-07,2026-07-04,94.2
LAP-000060,KDMP-00010,2026-08,2026-08-04,97.3
LAP-000061,KDMP-00011,2026-03,2026-03-07,70.1
LAP-000062,KDMP-00011,2026-04,2026-04-01,58.0
LAP-000063,KDMP-00011,2026-05,2026-05-10,76.6
LAP-000064,KDMP-00011,2026-06,2026-06-05,69.3
LAP-000065,KDMP-00011,2026-07,2026-07-01,43.2
LAP-000066,KDMP-00011,2026-08,2026-08-09,41.6
LAP-000067,KDMP-00012,2026-03,2026-03-07,70.6
LAP-000068,KDMP-00012,2026-04,2026-04-09,73.6
LAP-000069,KDMP-00012,2026-05,2026-05-10,86.8
LAP-000070,KDMP-00012,2026-06,2026-06-01,93.0
LAP-000071,KDMP-00012,2026-07,2026-07-01,100
LAP-000072,KDMP-00012,2026-08,2026-08-02,100
LAP-000073,KDMP-00013,2026-03,2026-03-10,79.6
LAP-000074,KDMP-00013,2026-04,2026-04-05,56.7
LAP-000075,KDMP-00013,2026-05,2026-05-02,74.6
LAP-000076,KDMP-00013,2026-06,2026-06-03,45.0
LAP-000077,KDMP-00013,2026-07,2026-07-07,56.2
LAP-000078,KDMP-00013,2026-08,2026-08-06,33.5
LAP-000079,KDMP-00014,2026-03,2026-03-09,100
LAP-000080,KDMP-00014,2026-04,2026-04-01,92.8
LAP-000081,KDMP-00014,2026-05,2026-05-07,83.4
LAP-000082,KDMP-00014,2026-06,2026-06-02,72.1
LAP-000083,KDMP-00014,2026-07,2026-07-07,60.8
LAP-000084,KDMP-00014,2026-08,2026-08-08,50.8
LAP-000085,KDMP-00015,2026-03,2026-03-03,86.9
LAP-000086,KDMP-00015,2026-04,2026-04-06,58.5
LAP-000087,KDMP-00015,2026-05,2026-05-08,54.9
LAP-000088,KDMP-00015,2026-06,2026-06-08,60.9
LAP-000089,KDMP-00015,2026-07,2026-07-05,48.3
LAP-000090,KDMP-00015,2026-08,2026-08-05,38.8
LAP-000091,KDMP-00016,2026-03,2026-03-01,98.8
LAP-000092,KDMP-00016,2026-04,2026-04-03,100
LAP-000093,KDMP-00016,2026-05,2026-05-04,94.4
LAP-000094,KDMP-00016,2026-06,2026-06-02,69.4
LAP-000095,KDMP-00016,2026-07,2026-07-02,63.5
LAP-000096,KDMP-00016,2026-08,2026-08-10,60.8
LAP-000097,KDMP-00017,2026-03,2026-03-04,62.5
LAP-000098,KDMP-00017,2026-04,2026-04-07,75.1
LAP-000099,KDMP-00017,2026-05,2026-05-08,89.7
LAP-000100,KDMP-00017,2026-06,2026-06-07,98.0
LAP-000101,KDMP-00017,2026-07,2026-07-07,92.6
LAP-000102,KDMP-00017,2026-08,2026-08-06,96.1
LAP-000103,KDMP-00018,2026-03,2026-03-10,83.4
LAP-000104,KDMP-00018,2026-04,2026-04-01,66.4
LAP-000105,KDMP-00018,2026-05,2026-05-01,59.2
LAP-000106,KDMP-00018,2026-06,2026-06-07,46.3
LAP-000107,KDMP-00018,2026-07,2026-07-09,38.7
LAP-000108,KDMP-00018,2026-08,2026-08-03,37.6
LAP-000109,KDMP-00019,2026-03,2026-03-09,71.3
LAP-000110,KDMP-00019,2026-04,2026-04-01,84.6
LAP-000111,KDMP-00019,2026-05,2026-05-07,54.6
LAP-000112,KDMP-00019,2026-06,2026-06-01,56.6
LAP-000113,KDMP-00019,2026-07,2026-07-01,44.8
LAP-000114,KDMP-00019,2026-08,2026-08-01,39.4
LAP-000115,KDMP-00020,2026-03,2026-03-04,63.3
LAP-000116,KDMP-00020,2026-04,2026-04-01,72.7
LAP-000117,KDMP-00020,2026-05,2026-05-03,80.4
LAP-000118,KDMP-00020,2026-06,2026-06-02,96.5
LAP-000119,KDMP-00020,2026-07,2026-07-07,100
LAP-000120,KDMP-00020,2026-08,2026-08-01,98.1
LAP-000121,KDMP-00021,2026-03,2026-03-10,39.5
LAP-000122,KDMP-00021,2026-04,2026-04-04,11.4
LAP-000123,KDMP-00021,2026-05,2026-05-10,31.3
LAP-000124,KDMP-00021,2026-06,2026-06-03,9.0
LAP-000125,KDMP-00021,2026-07,2026-07-04,5.7
LAP-000126,KDMP-00021,2026-08,2026-08-03,22.1
LAP-000127,KDMP-00022,2026-03,2026-03-01,87.3
LAP-000128,KDMP-00022,2026-04,2026-04-06,92.2
LAP-000129,KDMP-00022,2026-05,2026-05-04,83.2
LAP-000130,KDMP-00022,2026-06,2026-06-08,95.3
LAP-000131,KDMP-00022,2026-07,2026-07-10,95.1
LAP-000132,KDMP-00022,2026-08,2026-08-10,89.3
LAP-000133,KDMP-00023,2026-03,2026-03-02,44.4
LAP-000134,KDMP-00023,2026-04,2026-04-03,56.1
LAP-000135,KDMP-00023,2026-05,2026-05-01,74.5
LAP-000136,KDMP-00023,2026-06,2026-06-09,52.6
LAP-000137,KDMP-00023,2026-07,2026-07-03,71.4
LAP-000138,KDMP-00023,2026-08,2026-08-08,89.3
LAP-000139,KDMP-00024,2026-03,2026-03-08,44.0
LAP-000140,KDMP-00024,2026-04,2026-04-06,65.5
LAP-000141,KDMP-00024,2026-05,2026-05-05,53.6
LAP-000142,KDMP-00024,2026-06,2026-06-10,83.0
LAP-000143,KDMP-00024,2026-07,2026-07-01,90.1
LAP-000144,KDMP-00024,2026-08,2026-08-09,69.2
LAP-000145,KDMP-00025,2026-03,2026-03-05,99.3
LAP-000146,KDMP-00025,2026-04,2026-04-06,93.9
LAP-000147,KDMP-00025,2026-05,2026-05-02,84.5
LAP-000148,KDMP-00025,2026-06,2026-06-01,82.5
LAP-000149,KDMP-00025,2026-07,2026-07-02,92.6
LAP-000150,KDMP-00025,2026-08,2026-08-10,94.4
LAP-000151,KDMP-00026,2026-03,2026-03-06,71.8
LAP-000152,KDMP-00026,2026-04,2026-04-05,71.6
LAP-000153,KDMP-00026,2026-05,2026-05-05,75.2
LAP-000154,KDMP-00026,2026-06,2026-06-07,63.2
LAP-000155,KDMP-00026,2026-07,2026-07-03,60.2
LAP-000156,KDMP-00026,2026-08,2026-08-10,49.0
LAP-000157,KDMP-00027,2026-03,2026-03-06,100
LAP-000158,KDMP-00027,2026-04,2026-04-08,88.8
LAP-000159,KDMP-00027,2026-05,2026-05-01,88.6
LAP-000160,KDMP-00027,2026-06,2026-06-07,73.4
LAP-000161,KDMP-00027,2026-07,2026-07-04,64.8
LAP-000162,KDMP-00027,2026-08,2026-08-07,62.6
LAP-000163,KDMP-00028,2026-03,2026-03-07,82.1
LAP-000164,KDMP-00028,2026-04,2026-04-05,96.8
LAP-000165,KDMP-00028,2026-05,2026-05-01,90.8
LAP-000166,KDMP-00028,2026-06,2026-06-05,89.0
LAP-000167,KDMP-00028,2026-07,2026-07-03,64.4
LAP-000168,KDMP-00028,2026-08,2026-08-07,74.2
LAP-000169,KDMP-00029,2026-03,2026-03-04,50.5
LAP-000170,KDMP-00029,2026-04,2026-04-02,61.3
LAP-000171,KDMP-00029,2026-05,2026-05-06,61.7
LAP-000172,KDMP-00029,2026-06,2026-06-06,50.9
LAP-000173,KDMP-00029,2026-07,2026-07-01,80.6
LAP-000174,KDMP-00029,2026-08,2026-08-04,52.2
LAP-000175,KDMP-00030,2026-03,2026-03-02,67.4
LAP-000176,KDMP-00030,2026-04,2026-04-02,72.5
LAP-000177,KDMP-00030,2026-05,2026-05-01,79.4
LAP-000178,KDMP-00030,2026-06,2026-06-08,88.7
LAP-000179,KDMP-00030,2026-07,2026-07-06,100
LAP-000180,KDMP-00030,2026-08,2026-08-05,95.0
LAP-000181,KDMP-00031,2026-03,2026-03-04,99.0
LAP-000182,KDMP-00031,2026-04,2026-04-06,90.8
LAP-000183,KDMP-00031,2026-05,2026-05-10,82.7
LAP-000184,KDMP-00031,2026-06,2026-06-07,72.5
LAP-000185,KDMP-00031,2026-07,2026-07-06,73.5
LAP-000186,KDMP-00031,2026-08,2026-08-06,53.1
LAP-000187,KDMP-00032,2026-03,2026-03-08,93.9
LAP-000188,KDMP-00032,2026-04,2026-04-06,91.7
LAP-000189,KDMP-00032,2026-05,2026-05-02,94.5
LAP-000190,KDMP-00032,2026-06,2026-06-02,91.5
LAP-000191,KDMP-00032,2026-07,2026-07-09,95.2
LAP-000192,KDMP-00032,2026-08,2026-08-09,92.7
LAP-000193,KDMP-00033,2026-03,2026-03-05,63.3
LAP-000194,KDMP-00033,2026-04,2026-04-07,79.5
LAP-000195,KDMP-00033,2026-05,2026-05-07,84.3
LAP-000196,KDMP-00033,2026-06,2026-06-02,88.3
LAP-000197,KDMP-00033,2026-07,2026-07-04,100
LAP-000198,KDMP-00033,2026-08,2026-08-10,100
LAP-000199,KDMP-00034,2026-03,2026-03-09,47.4
LAP-000200,KDMP-00034,2026-04,2026-04-09,53.1
LAP-000201,KDMP-00034,2026-05,2026-05-06,74.1
LAP-000202,KDMP-00034,2026-06,2026-06-01,73.4
LAP-000203,KDMP-00034,2026-07,2026-07-04,83.7
LAP-000204,KDMP-00034,2026-08,2026-08-08,94.1
LAP-000205,KDMP-00035,2026-03,2026-03-02,77.1
LAP-000206,KDMP-00035,2026-04,2026-04-04,67.3
LAP-000207,KDMP-00035,2026-05,2026-05-02,77.4
LAP-000208,KDMP-00035,2026-06,2026-06-03,68.0
LAP-000209,KDMP-00035,2026-07,2026-07-06,50.8
LAP-000210,KDMP-00035,2026-08,2026-08-04,63.8
LAP-000211,KDMP-00036,2026-03,2026-03-03,56.9
LAP-000212,KDMP-00036,2026-04,2026-04-10,72.1
LAP-000213,KDMP-00036,2026-05,2026-05-04,72.4
LAP-000214,KDMP-00036,2026-06,2026-06-03,75.2
LAP-000215,KDMP-00036,2026-07,2026-07-07,56.7
LAP-000216,KDMP-00036,2026-08,2026-08-01,59.3
LAP-000217,KDMP-00037,2026-03,2026-03-09,96.3
LAP-000218,KDMP-00037,2026-04,2026-04-06,100
LAP-000219,KDMP-00037,2026-05,2026-05-03,81.4
LAP-000220,KDMP-00037,2026-06,2026-06-08,81.9
LAP-000221,KDMP-00037,2026-07,2026-07-10,64.8
LAP-000222,KDMP-00037,2026-08,2026-08-05,58.6
LAP-000223,KDMP-00038,2026-03,2026-03-08,83.3
LAP-000224,KDMP-00038,2026-04,2026-04-10,98.4
LAP-000225,KDMP-00038,2026-05,2026-05-03,98.7
LAP-000226,KDMP-00038,2026-06,2026-06-09,84.5
LAP-000227,KDMP-00038,2026-07,2026-07-03,97.3
LAP-000228,KDMP-00038,2026-08,2026-08-04,80.9
LAP-000229,KDMP-00039,2026-03,2026-03-01,72.0
LAP-000230,KDMP-00039,2026-04,2026-04-05,68.4
LAP-000231,KDMP-00039,2026-05,2026-05-01,72.0
LAP-000232,KDMP-00039,2026-06,2026-06-10,52.1
LAP-000233,KDMP-00039,2026-07,2026-07-03,56.0
LAP-000234,KDMP-00039,2026-08,2026-08-05,66.5
LAP-000235,KDMP-00040,2026-03,2026-03-05,59.6
LAP-000236,KDMP-00040,2026-04,2026-04-02,73.7
LAP-000237,KDMP-00040,2026-05,2026-05-09,84.7
LAP-000238,KDMP-00040,2026-06,2026-06-10,84.6
LAP-000239,KDMP-00040,2026-07,2026-07-08,89.8
LAP-000240,KDMP-00040,2026-08,2026-08-06,99.6
LAP-000241,KDMP-00041,2026-03,2026-03-06,77.6
LAP-000242,KDMP-00041,2026-04,2026-04-06,77.0
LAP-000243,KDMP-00041,2026-05,2026-05-07,54.1
LAP-000244,KDMP-00041,2026-06,2026-06-08,51.8
LAP-000245,KDMP-00041,2026-07,2026-07-10,60.4
LAP-000246,KDMP-00041,2026-08,2026-08-10,72.1
LAP-000247,KDMP-00042,2026-03,2026-03-09,93.6
LAP-000248,KDMP-00042,2026-04,2026-04-02,100
LAP-000249,KDMP-00042,2026-05,2026-05-07,77.4
LAP-000250,KDMP-00042,2026-06,2026-06-04,81.4
LAP-000251,KDMP-00042,2026-07,2026-07-03,62.4
LAP-000252,KDMP-00042,2026-08,2026-08-07,52.7
LAP-000253,KDMP-00043,2026-03,2026-03-03,94.0
LAP-000254,KDMP-00043,2026-04,2026-04-08,84.8
LAP-000255,KDMP-00043,2026-05,2026-05-08,61.8
LAP-000256,KDMP-00043,2026-06,2026-06-02,48.4
LAP-000257,KDMP-00043,2026-07,2026-07-09,46.8
LAP-000258,KDMP-00043,2026-08,2026-08-01,45.6
LAP-000259,KDMP-00044,2026-03,2026-03-07,71.4
LAP-000260,KDMP-00044,2026-04,2026-04-08,80.8
LAP-000261,KDMP-00044,2026-05,2026-05-08,74.1
LAP-000262,KDMP-00044,2026-06,2026-06-09,81.7
LAP-000263,KDMP-00044,2026-07,2026-07-04,97.7
LAP-000264,KDMP-00044,2026-08,2026-08-01,100
LAP-000265,KDMP-00045,2026-03,2026-03-06,86.7
LAP-000266,KDMP-00045,2026-04,2026-04-09,83.4
LAP-000267,KDMP-00045,2026-05,2026-05-03,95.9
LAP-000268,KDMP-00045,2026-06,2026-06-02,92.6
LAP-000269,KDMP-00045,2026-07,2026-07-01,94.6
LAP-000270,KDMP-00045,2026-08,2026-08-05,92.8
LAP-000271,KDMP-00046,2026-03,2026-03-03,73.3
LAP-000272,KDMP-00046,2026-04,2026-04-05,78.7
LAP-000273,KDMP-00046,2026-05,2026-05-07,50.6
LAP-000274,KDMP-00046,2026-06,2026-06-06,65.1
LAP-000275,KDMP-00046,2026-07,2026-07-07,66.2
LAP-000276,KDMP-00046,2026-08,2026-08-03,64.5
LAP-000277,KDMP-00047,2026-03,2026-03-01,87.4
LAP-000278,KDMP-00047,2026-04,2026-04-07,96.8
LAP-000279,KDMP-00047,2026-05,2026-05-01,96.6
LAP-000280,KDMP-00047,2026-06,2026-06-04,96.9
LAP-000281,KDMP-00047,2026-07,2026-07-04,94.1
LAP-000282,KDMP-00047,2026-08,2026-08-06,96.1
LAP-000283,KDMP-00048,2026-03,2026-03-07,40.0
LAP-000284,KDMP-00048,2026-04,2026-04-05,49.8
LAP-000285,KDMP-00048,2026-05,2026-05-02,47.5
LAP-000286,KDMP-00048,2026-06,2026-06-08,15.5
LAP-000287,KDMP-00048,2026-07,2026-07-10,13.0
LAP-000288,KDMP-00048,2026-08,2026-08-10,17.5
LAP-000289,KDMP-00049,2026-03,2026-03-09,84.2
LAP-000290,KDMP-00049,2026-04,2026-04-10,98.5
LAP-000291,KDMP-00049,2026-05,2026-05-10,94.0
LAP-000292,KDMP-00049,2026-06,2026-06-10,93.6
LAP-000293,KDMP-00049,2026-07,2026-07-05,96.8
LAP-000294,KDMP-00049,2026-08,2026-08-10,96.8
LAP-000295,KDMP-00050,2026-03,2026-03-05,30.3
LAP-000296,KDMP-00050,2026-04,2026-04-09,27.2
LAP-000297,KDMP-00050,2026-05,2026-05-10,23.1
LAP-000298,KDMP-00050,2026-06,2026-06-06,40.6
LAP-000299,KDMP-00050,2026-07,2026-07-01,48.4
LAP-000300,KDMP-00050,2026-08,2026-08-10,52.6
LAP-000301,KDMP-00051,2026-03,2026-03-04,67.7
LAP-000302,KDMP-00051,2026-04,2026-04-07,67.9
LAP-000303,KDMP-00051,2026-05,2026-05-07,87.9
LAP-000304,KDMP-00051,2026-06,2026-06-03,19.3
LAP-000305,KDMP-00051,2026-07,2026-07-04,12.5
LAP-000306,KDMP-00051,2026-08,2026-08-05,58.5
LAP-000307,KDMP-00052,2026-03,2026-03-02,78.6
LAP-000308,KDMP-00052,2026-04,2026-04-03,54.2
LAP-000309,KDMP-00052,2026-05,2026-05-10,73.0
LAP-000310,KDMP-00052,2026-06,2026-06-09,72.5
LAP-000311,KDMP-00052,2026-07,2026-07-02,75.8
LAP-000312,KDMP-00052,2026-08,2026-08-02,71.1
LAP-000313,KDMP-00053,2026-03,2026-03-05,23.6
LAP-000314,KDMP-00053,2026-04,2026-04-06,33.6
LAP-000315,KDMP-00053,2026-05,2026-05-01,15.1
LAP-000316,KDMP-00053,2026-06,2026-06-02,4.4
LAP-000317,KDMP-00053,2026-07,2026-07-08,10.0
LAP-000318,KDMP-00053,2026-08,2026-08-03,16.1
LAP-000319,KDMP-00054,2026-03,2026-03-04,95.2
LAP-000320,KDMP-00054,2026-04,2026-04-09,100
LAP-000321,KDMP-00054,2026-05,2026-05-05,90.3
LAP-000322,KDMP-00054,2026-06,2026-06-05,84.0
LAP-000323,KDMP-00054,2026-07,2026-07-03,61.8
LAP-000324,KDMP-00054,2026-08,2026-08-08,54.7
LAP-000325,KDMP-00055,2026-03,2026-03-08,40.1
LAP-000326,KDMP-00055,2026-04,2026-04-09,8.0
LAP-000327,KDMP-00055,2026-05,2026-05-09,41.4
LAP-000328,KDMP-00055,2026-06,2026-06-03,11.6
LAP-000329,KDMP-00055,2026-07,2026-07-09,14.6
LAP-000330,KDMP-00055,2026-08,2026-08-08,35.2
LAP-000331,KDMP-00056,2026-03,2026-03-09,37.3
LAP-000332,KDMP-00056,2026-04,2026-04-05,66.5
LAP-000333,KDMP-00056,2026-05,2026-05-09,48.0
LAP-000334,KDMP-00056,2026-06,2026-06-02,52.6
LAP-000335,KDMP-00056,2026-07,2026-07-04,91.4
LAP-000336,KDMP-00056,2026-08,2026-08-05,83.2
LAP-000337,KDMP-00057,2026-03,2026-03-06,49.3
LAP-000338,KDMP-00057,2026-04,2026-04-08,51.5
LAP-000339,KDMP-00057,2026-05,2026-05-10,68.0
LAP-000340,KDMP-00057,2026-06,2026-06-05,70.6
LAP-000341,KDMP-00057,2026-07,2026-07-06,70.0
LAP-000342,KDMP-00057,2026-08,2026-08-08,76.5
LAP-000343,KDMP-00058,2026-03,2026-03-10,24.7
LAP-000344,KDMP-00058,2026-04,2026-04-07,34.0
LAP-000345,KDMP-00058,2026-05,2026-05-09,12.9
LAP-000346,KDMP-00058,2026-06,2026-06-01,16.7
LAP-000347,KDMP-00058,2026-07,2026-07-08,50.7
LAP-000348,KDMP-00058,2026-08,2026-08-07,14.1
LAP-000349,KDMP-00059,2026-03,2026-03-01,75.7
LAP-000350,KDMP-00059,2026-04,2026-04-01,76.9
LAP-000351,KDMP-00059,2026-05,2026-05-03,68.4
LAP-000352,KDMP-00059,2026-06,2026-06-07,63.3
LAP-000353,KDMP-00059,2026-07,2026-07-01,62.8
LAP-000354,KDMP-00059,2026-08,2026-08-06,53.2
LAP-000355,KDMP-00060,2026-03,2026-03-06,70.6
LAP-000356,KDMP-00060,2026-04,2026-04-09,78.6
LAP-000357,KDMP-00060,2026-05,2026-05-05,60.5
LAP-000358,KDMP-00060,2026-06,2026-06-09,51.5
LAP-000359,KDMP-00060,2026-07,2026-07-06,59.4
LAP-000360,KDMP-00060,2026-08,2026-08-06,38.1
LAP-000361,KDMP-00061,2026-03,2026-03-06,70.4
LAP-000362,KDMP-00061,2026-04,2026-04-03,67.2
LAP-000363,KDMP-00061,2026-05,2026-05-07,78.3
LAP-000364,KDMP-00061,2026-06,2026-06-01,87.2
LAP-000365,KDMP-00061,2026-07,2026-07-09,90.8
LAP-000366,KDMP-00061,2026-08,2026-08-09,100
LAP-000367,KDMP-00062,2026-03,2026-03-07,42.0
LAP-000368,KDMP-00062,2026-04,2026-04-03,43.0
LAP-000369,KDMP-00062,2026-05,2026-05-01,18.7
LAP-000370,KDMP-00062,2026-06,2026-06-07,21.8
LAP-000371,KDMP-00062,2026-07,2026-07-05,23.0
LAP-000372,KDMP-00062,2026-08,2026-08-03,20.3
LAP-000373,KDMP-00063,2026-03,2026-03-05,40.0
LAP-000374,KDMP-00063,2026-04,2026-04-05,63.6
LAP-000375,KDMP-00063,2026-05,2026-05-09,48.0
LAP-000376,KDMP-00063,2026-06,2026-06-08,70.2
LAP-000377,KDMP-00063,2026-07,2026-07-01,89.4
LAP-000378,KDMP-00063,2026-08,2026-08-04,62.8
LAP-000379,KDMP-00064,2026-03,2026-03-07,84.0
LAP-000380,KDMP-00064,2026-04,2026-04-07,98.2
LAP-000381,KDMP-00064,2026-05,2026-05-04,80.3
LAP-000382,KDMP-00064,2026-06,2026-06-08,96.7
LAP-000383,KDMP-00064,2026-07,2026-07-02,97.3
LAP-000384,KDMP-00064,2026-08,2026-08-04,89.1
LAP-000385,KDMP-00065,2026-03,2026-03-01,72.5
LAP-000386,KDMP-00065,2026-04,2026-04-05,83.7
LAP-000387,KDMP-00065,2026-05,2026-05-05,72.9
LAP-000388,KDMP-00065,2026-06,2026-06-04,46.7
LAP-000389,KDMP-00065,2026-07,2026-07-07,49.1
LAP-000390,KDMP-00065,2026-08,2026-08-01,32.7
LAP-000391,KDMP-00066,2026-03,2026-03-06,48.8
LAP-000392,KDMP-00066,2026-04,2026-04-09,42.1
LAP-000393,KDMP-00066,2026-05,2026-05-09,32.4
LAP-000394,KDMP-00066,2026-06,2026-06-10,13.2
LAP-000395,KDMP-00066,2026-07,2026-07-05,30.7
LAP-000396,KDMP-00066,2026-08,2026-08-04,25.3
LAP-000397,KDMP-00067,2026-03,2026-03-10,61.5
LAP-000398,KDMP-00067,2026-04,2026-04-07,65.8
LAP-000399,KDMP-00067,2026-05,2026-05-10,85.3
LAP-000400,KDMP-00067,2026-06,2026-06-08,91.3
LAP-000401,KDMP-00067,2026-07,2026-07-10,100
LAP-000402,KDMP-00067,2026-08,2026-08-03,100
LAP-000403,KDMP-00068,2026-03,2026-03-06,69.7
LAP-000404,KDMP-00068,2026-04,2026-04-09,81.8
LAP-000405,KDMP-00068,2026-05,2026-05-04,78.5
LAP-000406,KDMP-00068,2026-06,2026-06-10,89.0
LAP-000407,KDMP-00068,2026-07,2026-07-01,95.7
LAP-000408,KDMP-00068,2026-08,2026-08-01,98.9
LAP-000409,KDMP-00069,2026-03,2026-03-06,26.8
LAP-000410,KDMP-00069,2026-04,2026-04-07,40.4
LAP-000411,KDMP-00069,2026-05,2026-05-08,40.3
LAP-000412,KDMP-00069,2026-06,2026-06-09,19.1
LAP-000413,KDMP-00069,2026-07,2026-07-01,50.8
LAP-000414,KDMP-00069,2026-08,2026-08-08,31.9
LAP-000415,KDMP-00070,2026-03,2026-03-04,81.1
LAP-000416,KDMP-00070,2026-04,2026-04-01,73.1
LAP-000417,KDMP-00070,2026-05,2026-05-10,75.3
LAP-000418,KDMP-00070,2026-06,2026-06-09,65.0
LAP-000419,KDMP-00070,2026-07,2026-07-07,38.1
LAP-000420,KDMP-00070,2026-08,2026-08-10,31.5
LAP-000421,KDMP-00071,2026-03,2026-03-03,97.8
LAP-000422,KDMP-00071,2026-04,2026-04-01,99.5
LAP-000423,KDMP-00071,2026-05,2026-05-02,92.2
LAP-000424,KDMP-00071,2026-06,2026-06-09,52.1
LAP-000425,KDMP-00071,2026-07,2026-07-03,51.2
LAP-000426,KDMP-00071,2026-08,2026-08-05,38.2
LAP-000427,KDMP-00072,2026-03,2026-03-01,69.5
LAP-000428,KDMP-00072,2026-04,2026-04-05,65.0
LAP-000429,KDMP-00072,2026-05,2026-05-04,54.9
LAP-000430,KDMP-00072,2026-06,2026-06-08,53.1
LAP-000431,KDMP-00072,2026-07,2026-07-08,71.3
LAP-000432,KDMP-00072,2026-08,2026-08-07,59.1
LAP-000433,KDMP-00073,2026-03,2026-03-10,64.7
LAP-000434,KDMP-00073,2026-04,2026-04-02,61.7
LAP-000435,KDMP-00073,2026-05,2026-05-02,71.0
LAP-000436,KDMP-00073,2026-06,2026-06-07,66.4
LAP-000437,KDMP-00073,2026-07,2026-07-09,73.6
LAP-000438,KDMP-00073,2026-08,2026-08-04,73.1
LAP-000439,KDMP-00074,2026-03,2026-03-09,36.1
LAP-000440,KDMP-00074,2026-04,2026-04-03,60.8
LAP-000441,KDMP-00074,2026-05,2026-05-06,70.7
LAP-000442,KDMP-00074,2026-06,2026-06-09,76.7
LAP-000443,KDMP-00074,2026-07,2026-07-09,87.3
LAP-000444,KDMP-00074,2026-08,2026-08-05,87.2
LAP-000445,KDMP-00075,2026-03,2026-03-07,38.4
LAP-000446,KDMP-00075,2026-04,2026-04-04,45.2
LAP-000447,KDMP-00075,2026-05,2026-05-07,51.0
LAP-000448,KDMP-00075,2026-06,2026-06-06,52.0
LAP-000449,KDMP-00075,2026-07,2026-07-07,81.9
LAP-000450,KDMP-00075,2026-08,2026-08-05,83.9
