kode_wilayah,status_idm,skor_idm,dimensi_sosial,dimensi_ekonomi,dimensi_lingkungan,mata_pencaharian_dominan,ekonomi_beragam,akses_pusat_perdagangan
W0122,Maju,0.79,0.766,0.779,0.837,Perikanan,True,Dekat (<30 menit)
W0123,Berkembang,0.666,0.683,0.711,0.696,Jasa & Pariwisata,False,Jauh (>60 menit)
W0124,Maju,0.777,0.727,0.76,0.8,Jasa & Pariwisata,False,Jauh (>60 menit)
W0125,Mandiri,0.8241,0.8057,0.7333,0.9333,Peternakan,True,Dekat (<30 menit)
W0126,Mandiri,0.8346,0.9371,0.7,0.8667,Industri Kecil & Kerajinan,True,Sedang (30-60 menit)
W0127,Maju,0.7665,0.7829,0.65,0.8667,Pertanian,False,Jauh (>60 menit)
W0128,Mandiri,0.8173,0.8686,0.65,0.9333,Perikanan,True,Sedang (30-60 menit)
W0129,Maju,0.7665,0.7829,0.65,0.8667,Peternakan,True,Sedang (30-60 menit)
W0130,Maju,0.7602,0.8971,0.7167,0.6667,Jasa & Pariwisata,True,Jauh (>60 menit)
W0131,Mandiri,0.8192,0.8743,0.7167,0.8667,Pertanian,True,Dekat (<30 menit)
W0132,Berkembang,0.6908,0.8057,0.6,0.6667,Perkebunan,True,Jauh (>60 menit)
W0133,Mandiri,0.8344,0.92,0.65,0.9333,Jasa & Pariwisata,True,Dekat (<30 menit)
W0134,Mandiri,0.8583,0.8914,0.75,0.9333,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0135,Mandiri,0.8746,0.8571,0.8333,0.9333,Industri Kecil & Kerajinan,True,Sedang (30-60 menit)
W0136,Maju,0.754,0.8286,0.7667,0.6667,Perdagangan,True,Dekat (<30 menit)
W0137,Maju,0.7684,0.7886,0.85,0.6667,Perkebunan,True,Jauh (>60 menit)
W0138,Maju,0.7871,0.8114,0.6833,0.8667,Jasa & Pariwisata,True,Dekat (<30 menit)
W0139,Maju,0.7376,0.8629,0.6167,0.7333,Perdagangan,True,Sedang (30-60 menit)
W0140,Mandiri,0.8281,0.8343,0.85,0.8,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0141,Berkembang,0.705,0.663,0.664,0.773,Pertanian,True,Sedang (30-60 menit)
W0142,Maju,0.792,0.831,0.731,0.825,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0143,Berkembang,0.657,0.709,0.618,0.636,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0144,Tertinggal,0.575,0.5,0.624,0.539,Pertanian,True,Jauh (>60 menit)
W0145,Berkembang,0.655,0.657,0.584,0.712,Perikanan,True,Dekat (<30 menit)
W0146,Maju,0.773,0.809,0.73,0.774,Pertanian,False,Dekat (<30 menit)
W0147,Mandiri,0.867,0.934,0.816,0.941,Pertanian,True,Jauh (>60 menit)
W0148,Tertinggal,0.536,0.507,0.523,0.571,Perkebunan,False,Sedang (30-60 menit)
W0149,Maju,0.784,0.712,0.74,0.787,Pertanian,False,Dekat (<30 menit)
W0150,Berkembang,0.631,0.686,0.603,0.639,Pertanian,True,Dekat (<30 menit)
W0151,Tertinggal,0.571,0.53,0.55,0.646,Jasa & Pariwisata,False,Sedang (30-60 menit)
W0152,Berkembang,0.688,0.632,0.757,0.612,Perdagangan,True,Sedang (30-60 menit)
W0153,Tertinggal,0.595,0.515,0.62,0.651,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0154,Sangat Tertinggal,0.38,0.454,0.456,0.323,Perkebunan,True,Jauh (>60 menit)
W0155,Tertinggal,0.547,0.579,0.527,0.623,Pertanian,False,Sedang (30-60 menit)
W0156,Berkembang,0.643,0.658,0.573,0.669,Perikanan,True,Dekat (<30 menit)
W0157,Berkembang,0.6546,0.6971,0.6,0.6667,Perkebunan,False,Dekat (<30 menit)
W0158,Maju,0.7237,0.7543,0.4833,0.9333,Jasa & Pariwisata,False,Dekat (<30 menit)
W0159,Berkembang,0.6224,0.8171,0.3833,0.6667,Perkebunan,True,Jauh (>60 menit)
W0160,Tertinggal,0.5479,0.5771,0.4667,0.6,Perikanan,False,Sedang (30-60 menit)
W0161,Tertinggal,0.5925,0.7943,0.3833,0.6,Perikanan,True,Dekat (<30 menit)
W0162,Berkembang,0.6968,0.8571,0.6333,0.6,Perkebunan,True,Sedang (30-60 menit)
W0163,Berkembang,0.7052,0.7657,0.4167,0.9333,Jasa & Pariwisata,True,Dekat (<30 menit)
W0164,Berkembang,0.6495,0.7486,0.5333,0.6667,Perkebunan,False,Dekat (<30 menit)
W0165,Mandiri,0.9089,0.96,0.7667,1.0,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0166,Berkembang,0.6771,0.7314,0.6333,0.6667,Industri Kecil & Kerajinan,True,Dekat (<30 menit)
W0167,Tertinggal,0.581,0.7429,0.4667,0.5333,Jasa & Pariwisata,True,Dekat (<30 menit)
W0168,Maju,0.7143,0.7429,0.6,0.8,Perikanan,False,Dekat (<30 menit)
W0169,Berkembang,0.6429,0.8286,0.5,0.6,Pertanian,False,Dekat (<30 menit)
W0170,Maju,0.7333,0.8,0.6,0.8,Perikanan,True,Dekat (<30 menit)
W0171,Berkembang,0.601,0.7029,0.5,0.6,Peternakan,True,Sedang (30-60 menit)
W0172,Berkembang,0.6587,0.7429,0.4333,0.8,Pertanian,True,Sedang (30-60 menit)
W0173,Maju,0.711,0.764,0.788,0.652,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0174,Tertinggal,0.499,0.513,0.566,0.431,Pertanian,True,Sedang (30-60 menit)
W0175,Tertinggal,0.5,0.556,0.549,0.44,Peternakan,True,Jauh (>60 menit)
W0176,Berkembang,0.68,0.679,0.661,0.668,Perkebunan,True,Dekat (<30 menit)
W0177,Maju,0.807,0.733,0.826,0.766,Perkebunan,True,Jauh (>60 menit)
W0178,Berkembang,0.61,0.591,0.597,0.633,Jasa & Pariwisata,True,Sedang (30-60 menit)
W0179,Tertinggal,0.577,0.655,0.622,0.554,Perdagangan,False,Dekat (<30 menit)
W0180,Maju,0.7303,0.6743,0.7833,0.7333,Perdagangan,True,Dekat (<30 menit)
W0181,Mandiri,0.8473,0.9086,0.7667,0.8667,Perikanan,True,Sedang (30-60 menit)
W0182,Mandiri,0.8268,0.8971,0.85,0.7333,Pertanian,False,Sedang (30-60 menit)
W0183,Berkembang,0.6529,0.7086,0.5833,0.6667,Pertanian,False,Dekat (<30 menit)
W0184,Berkembang,0.7014,0.7543,0.4833,0.8667,Perkebunan,False,Jauh (>60 menit)
W0185,Mandiri,0.8211,0.88,0.85,0.7333,Perikanan,True,Sedang (30-60 menit)
W0186,Maju,0.7465,0.8229,0.55,0.8667,Perkebunan,True,Sedang (30-60 menit)
W0187,Tertinggal,0.574,0.646,0.586,0.651,Peternakan,True,Sedang (30-60 menit)
W0188,Tertinggal,0.509,0.524,0.558,0.541,Perdagangan,True,Sedang (30-60 menit)
W0189,Sangat Tertinggal,0.407,0.417,0.357,0.485,Peternakan,False,Dekat (<30 menit)
W0190,Mandiri,0.827,0.843,0.75,0.823,Perkebunan,False,Dekat (<30 menit)
W0191,Maju,0.789,0.856,0.844,0.761,Pertanian,True,Sedang (30-60 menit)
W0192,Maju,0.722,0.726,0.7,0.654,Industri Kecil & Kerajinan,False,Dekat (<30 menit)
W0193,Maju,0.743,0.685,0.688,0.815,Jasa & Pariwisata,True,Dekat (<30 menit)
W0194,Berkembang,0.6814,0.5943,0.65,0.8,Perkebunan,True,Jauh (>60 menit)
W0195,Mandiri,0.8486,0.8457,0.8333,0.8667,Industri Kecil & Kerajinan,False,Sedang (30-60 menit)
W0196,Maju,0.8117,0.8686,0.7,0.8667,Perkebunan,True,Sedang (30-60 menit)
W0197,Mandiri,0.8559,0.8343,0.8667,0.8667,Perikanan,True,Sedang (30-60 menit)
W0198,Mandiri,0.9006,0.8686,0.9667,0.8667,Perkebunan,True,Sedang (30-60 menit)
