koperasi_id,kode_wilayah,nama_koperasi,tanggal_berdiri,jumlah_anggota,jenis_usaha,status_operasional
KDMP-00034,W0034,KDMP Bumi Makmur,2026-02-21,319,Pertanian & Agroinput,Aktif
KDMP-00035,W0035,KDMP Mekar Sari,2025-10-12,306,Sembako & Ritel,Aktif
KDMP-00036,W0036,KDMP Panca Makmur,2026-03-22,145,Pertanian & Agroinput,Aktif
KDMP-00037,W0037,KDMP Mekar Harjo,2026-02-17,251,Pertanian & Agroinput,Aktif
KDMP-00038,W0038,KDMP Karang Makmur,2026-03-19,45,Pertanian & Agroinput,Aktif
KDMP-00039,W0039,KDMP Cinta Agung,2025-08-17,131,Sembako & Ritel,Aktif
KDMP-00040,W0040,KDMP Sido Harjo,2026-03-10,57,Sembako & Ritel,Aktif
KDMP-00041,W0041,KDMP Wono Damai,2025-12-13,47,Sembako & Ritel,Aktif
KDMP-00042,W0042,KDMP Cinta Jaya,2026-01-15,316,Perikanan,Aktif
KDMP-00043,W0043,KDMP Sumber Indah,2026-02-06,177,Simpan Pinjam,Aktif
KDMP-00044,W0044,KDMP Landungsari,2025-12-10,86,Simpan Pinjam,Aktif
KDMP-00045,W0045,KDMP Panggungrejo,2025-10-14,76,Simpan Pinjam,Aktif
KDMP-00046,W0046,KDMP Sidorejo,2025-11-13,197,Logistik & Distribusi,Aktif
KDMP-00047,W0047,KDMP Tawangargo,2025-08-16,59,Logistik & Distribusi,Aktif
KDMP-00048,W0048,KDMP Sukorejo,2025-10-05,246,Perikanan,Aktif
KDMP-00049,W0049,KDMP Jogomulyan,2025-10-06,153,Logistik & Distribusi,Aktif
KDMP-00050,W0050,KDMP Ngawonggo,2026-02-09,71,Pertanian & Agroinput,Aktif
KDMP-00051,W0051,KDMP Sumberejo,2025-07-08,123,Simpan Pinjam,Aktif
KDMP-00052,W0052,KDMP Sidoluhur,2025-09-06,103,Simpan Pinjam,Aktif
KDMP-00053,W0053,KDMP Wirotaman,2025-10-13,169,Sembako & Ritel,Aktif
KDMP-00054,W0054,KDMP Sudimoro,2025-11-26,234,Sembako & Ritel,Aktif
KDMP-00055,W0055,KDMP Pujiharjo,2026-01-14,280,Simpan Pinjam,Aktif
KDMP-00056,W0056,KDMP Banjarkemantren,2026-03-25,182,Pertanian & Agroinput,Aktif
KDMP-00057,W0057,KDMP Tanjekwagir,2026-03-20,298,Pertanian & Agroinput,Aktif
KDMP-00058,W0058,KDMP Masanganwetan,2025-11-23,309,Simpan Pinjam,Aktif
KDMP-00059,W0059,KDMP Wedoroklurak,2026-03-16,53,Sembako & Ritel,Aktif
KDMP-00060,W0060,KDMP Sugihwaras,2025-09-16,214,Pertanian & Agroinput,Aktif
KDMP-00061,W0061,KDMP Krembangan,2025-08-11,139,Simpan Pinjam,Aktif
KDMP-00062,W0062,KDMP Masangankulon,2026-03-10,196,Simpan Pinjam,Aktif
KDMP-00063,W0063,KDMP Kedungbanteng,2025-07-02,109,Logistik & Distribusi,Aktif
KDMP-00064,W0064,KDMP Kendalsewu,2025-08-02,103,Sembako & Ritel,Aktif
KDMP-00065,W0065,KDMP Siwalanpanji,2025-08-26,172,Sembako & Ritel,Aktif
KDMP-00066,W0066,KDMP Jenawi,2026-02-15,264,Pertanian & Agroinput,Aktif
KDMP-00067,W0067,KDMP Seloromo,2025-08-21,125,Simpan Pinjam,Aktif
KDMP-00068,W0068,KDMP Munggur,2025-11-16,189,Logistik & Distribusi,Aktif
KDMP-00069,W0069,KDMP Berjo,2025-12-26,160,Simpan Pinjam,Aktif
KDMP-00070,W0070,KDMP Ngunut,2025-12-27,108,Logistik & Distribusi,Aktif
KDMP-00071,W0071,KDMP Papahan,2025-10-15,266,Pertanian & Agroinput,Aktif
KDMP-00072,W0072,KDMP Girimulyo,2025-07-25,65,Simpan Pinjam,Aktif
KDMP-00073,W0073,KDMP Buntar,2025-11-14,91,Logistik & Distribusi,Aktif
KDMP-00074,W0074,KDMP Plesungan,2026-02-14,250,Perikanan,Aktif
KDMP-00075,W0075,KDMP Alastuwo,2025-10-28,281,Logistik & Distribusi,Aktif
KDMP-00076,W0076,KDMP Plosorejo,2025-10-25,112,Pertanian & Agroinput,Aktif
KDMP-00077,W0077,KDMP Ngadirejo,2025-08-23,253,Sembako & Ritel,Aktif
KDMP-00078,W0078,KDMP Duren,2025-12-10,292,Logistik & Distribusi,Aktif
KDMP-00079,W0079,KDMP Trayu,2026-03-24,186,Logistik & Distribusi,Aktif
KDMP-00080,W0080,KDMP Candi,2025-09-27,295,Simpan Pinjam,Aktif
KDMP-00081,W0081,KDMP Tanjung,2026-02-15,167,Perikanan,Aktif
KDMP-00082,W0082,KDMP Ujung-Ujung,2025-10-23,122,Logistik & Distribusi,Aktif
KDMP-00083,W0083,KDMP Ketapang,2026-02-04,118,Logistik & Distribusi,Aktif
KDMP-00084,W0084,KDMP Kemetul,2025-11-23,213,Perikanan,Aktif
KDMP-00085,W0085,KDMP Duren,2025-08-21,161,Sembako & Ritel,Aktif
KDMP-00086,W0086,KDMP Tegalwaton,2025-08-23,211,Sembako & Ritel,Aktif
KDMP-00087,W0087,KDMP Kenteng,2025-08-06,240,Perikanan,Aktif
KDMP-00088,W0088,KDMP Bendungan,2025-12-09,283,Pertanian & Agroinput,Aktif
KDMP-00089,W0089,KDMP Karang Asih,2026-03-09,241,Logistik & Distribusi,Aktif
KDMP-00090,W0090,KDMP Cinta Agung,2025-12-13,70,Perikanan,Aktif
KDMP-00091,W0091,KDMP Wono Sari,2025-09-22,115,Sembako & Ritel,Aktif
KDMP-00092,W0092,KDMP Bumi Mulya,2025-09-11,112,Perikanan,Aktif
KDMP-00093,W0093,KDMP Sido Mukti,2025-09-24,284,Sembako & Ritel,Aktif
KDMP-00094,W0094,KDMP Cinta Harjo,2026-02-03,319,Sembako & Ritel,Aktif
KDMP-00095,W0095,KDMP Bumi Sari,2025-08-16,212,Perikanan,Aktif
KDMP-00096,W0096,KDMP Bumi Asih,2025-08-02,297,Sembako & Ritel,Aktif
KDMP-00097,W0097,KDMP Cinta Mukti,2026-03-14,257,Sembako & Ritel,Aktif
KDMP-00098,W0098,KDMP Panca Agung,2025-08-28,233,Perikanan,Aktif
KDMP-00099,W0099,KDMP Sumber Mulya,2026-02-03,55,Sembako & Ritel,Aktif
KDMP-00100,W0100,KDMP Cinta Jaya,2025-08-27,120,Perikanan,Aktif
KDMP-00101,W0101,KDMP Suka Rende,2026-01-22,228,Simpan Pinjam,Aktif
KDMP-00102,W0102,KDMP Lau Mulgap,2025-12-03,307,Perikanan,Aktif
KDMP-00103,W0103,KDMP Bah Bah Buntu,2025-12-17,60,Sembako & Ritel,Aktif
KDMP-00104,W0104,KDMP Kramat Gajah,2026-02-03,120,Sembako & Ritel,Aktif
KDMP-00105,W0105,KDMP Aji Baho,2026-02-20,265,Sembako & Ritel,Aktif
KDMP-00106,W0106,KDMP Sayum Sabah,2026-03-28,161,Logistik & Distribusi,Aktif
KDMP-00107,W0107,KDMP Ranggit-Git,2025-09-22,287,Sembako & Ritel,Aktif
KDMP-00108,W0108,KDMP Buah Nabar,2026-01-18,213,Sembako & Ritel,Aktif
KDMP-00109,W0109,KDMP Greahan,2025-12-02,225,Sembako & Ritel,Aktif
KDMP-00110,W0110,KDMP Sukamaju,2025-07-12,187,Perikanan,Aktif
KDMP-00111,W0111,KDMP Tiga Juhar,2026-03-22,181,Sembako & Ritel,Aktif
KDMP-00112,W0112,KDMP Limau Mungkur,2025-08-19,60,Sembako & Ritel,Aktif
KDMP-00113,W0113,KDMP Wono Rejo,2026-03-03,70,Sembako & Ritel,Aktif
KDMP-00114,W0114,KDMP Wono Harjo,2025-11-04,294,Perikanan,Aktif
KDMP-00115,W0115,KDMP Bahagia Damai,2026-02-10,265,Simpan Pinjam,Aktif
KDMP-00116,W0116,KDMP Cinta Mukti,2026-01-14,205,Perikanan,Aktif
KDMP-00117,W0117,KDMP Panca Agung,2025-09-06,230,Sembako & Ritel,Aktif
KDMP-00118,W0118,KDMP Mekar Makmur,2026-03-11,84,Perikanan,Aktif
KDMP-00119,W0119,KDMP Mekar Mukti,2026-03-27,176,Simpan Pinjam,Aktif
KDMP-00120,W0120,KDMP Bumi Asih,2026-02-22,210,Pertanian & Agroinput,Aktif
KDMP-00121,W0121,KDMP Wono Asih,2025-09-17,64,Sembako & Ritel,Aktif
KDMP-00122,W0122,KDMP Tanjung Asih,2025-11-26,141,Pertanian & Agroinput,Aktif
KDMP-00123,W0123,KDMP Suka Indah,2025-07-08,313,Perikanan,Aktif
KDMP-00124,W0124,KDMP Karang Rejo,2025-07-26,213,Sembako & Ritel,Aktif
KDMP-00125,W0125,KDMP Toddotoa,2025-11-28,117,Pertanian & Agroinput,Aktif
KDMP-00126,W0126,KDMP Bontomanai,2025-11-13,110,Perikanan,Aktif
KDMP-00127,W0127,KDMP Panaikang,2025-09-06,293,Simpan Pinjam,Aktif
KDMP-00128,W0128,KDMP Lempangang,2026-03-25,314,Sembako & Ritel,Aktif
KDMP-00129,W0129,KDMP Bontoramba,2025-08-06,129,Logistik & Distribusi,Aktif
KDMP-00130,W0130,KDMP Ta'Binjai,2026-03-10,164,Perikanan,Aktif
KDMP-00131,W0131,KDMP Pallangga,2026-01-12,270,Logistik & Distribusi,Aktif
KDMP-00132,W0132,KDMP Salajangki,2026-01-26,71,Logistik & Distribusi,Aktif
KDMP-00133,W0133,KDMP Biringala,2025-07-10,275,Perikanan,Aktif
KDMP-00134,W0134,KDMP Ulu Galung,2025-09-01,236,Simpan Pinjam,Aktif
KDMP-00135,W0135,KDMP Lonrong,2026-03-21,64,Pertanian & Agroinput,Aktif
KDMP-00136,W0136,KDMP Bonto Tallasa,2025-09-07,315,Logistik & Distribusi,Aktif
KDMP-00137,W0137,KDMP Biangkeke,2025-12-26,300,Perikanan,Aktif
KDMP-00138,W0138,KDMP Bonto Tiro,2025-11-12,88,Perikanan,Aktif
KDMP-00139,W0139,KDMP Kayu Loe,2026-03-18,67,Logistik & Distribusi,Aktif
KDMP-00140,W0140,KDMP Balumbung,2025-08-24,215,Simpan Pinjam,Aktif
KDMP-00141,W0141,KDMP Karang Harjo,2025-12-25,148,Sembako & Ritel,Aktif
KDMP-00142,W0142,KDMP Tanjung Mukti,2025-09-12,214,Pertanian & Agroinput,Aktif
KDMP-00143,W0143,KDMP Bahagia Kencana,2025-09-26,262,Sembako & Ritel,Aktif
KDMP-00144,W0144,KDMP Panca Jaya,2025-09-15,272,Pertanian & Agroinput,Aktif
KDMP-00145,W0145,KDMP Suka Kencana,2026-01-03,307,Simpan Pinjam,Aktif
KDMP-00146,W0146,KDMP Karang Damai,2026-02-12,123,Logistik & Distribusi,Aktif
KDMP-00147,W0147,KDMP Sumber Indah,2025-09-08,140,Logistik & Distribusi,Aktif
KDMP-00148,W0148,KDMP Mekar Sari,2025-10-07,276,Simpan Pinjam,Aktif
KDMP-00149,W0149,KDMP Mekar Harjo,2025-09-28,134,Pertanian & Agroinput,Aktif
KDMP-00150,W0150,KDMP Cinta Asih,2025-11-12,111,Perikanan,Aktif
KDMP-00151,W0151,KDMP Mekar Sari,2026-03-03,82,Logistik & Distribusi,Aktif
KDMP-00152,W0152,KDMP Bumi Mukti,2025-08-25,73,Sembako & Ritel,Aktif
KDMP-00153,W0153,KDMP Karang Sari,2025-11-10,185,Simpan Pinjam,Aktif
KDMP-00154,W0154,KDMP Tanjung Damai,2026-01-06,217,Perikanan,Aktif
KDMP-00155,W0155,KDMP Suka Asih,2025-11-14,193,Pertanian & Agroinput,Aktif
KDMP-00156,W0156,KDMP Bumi Agung,2025-10-15,205,Pertanian & Agroinput,Aktif
KDMP-00157,W0157,KDMP Oemofa,2025-09-08,171,Simpan Pinjam,Aktif
KDMP-00158,W0158,KDMP Oematnunu,2025-08-28,205,Simpan Pinjam,Aktif
KDMP-00159,W0159,KDMP Kuaklalo,2026-02-01,279,Simpan Pinjam,Aktif
KDMP-00160,W0160,KDMP Oelbiteno,2025-12-22,100,Logistik & Distribusi,Aktif
KDMP-00161,W0161,KDMP Oh'Aem,2025-10-02,192,Sembako & Ritel,Aktif
KDMP-00162,W0162,KDMP Baumata Timur,2026-03-22,94,Logistik & Distribusi,Aktif
KDMP-00163,W0163,KDMP Retraen,2025-11-02,215,Logistik & Distribusi,Aktif
KDMP-00164,W0164,KDMP Raknamo,2025-10-20,217,Perikanan,Aktif
KDMP-00165,W0165,KDMP Kuta,2026-02-11,202,Sembako & Ritel,Aktif
KDMP-00166,W0166,KDMP Matawai Amahu,2026-03-19,290,Simpan Pinjam,Aktif
KDMP-00167,W0167,KDMP Matawai Katingga,2025-12-04,259,Simpan Pinjam,Aktif
KDMP-00168,W0168,KDMP Watuhadang,2026-03-24,151,Perikanan,Aktif
KDMP-00169,W0169,KDMP Kataka,2026-02-18,180,Perikanan,Aktif
KDMP-00170,W0170,KDMP Matawai Atu,2025-09-25,295,Pertanian & Agroinput,Aktif
KDMP-00171,W0171,KDMP Ananjaki,2026-02-04,247,Pertanian & Agroinput,Aktif
KDMP-00172,W0172,KDMP Laipandak,2025-10-21,148,Perikanan,Aktif
KDMP-00173,W0173,KDMP Giri Sari,2025-12-17,96,Logistik & Distribusi,Aktif
KDMP-00174,W0174,KDMP Giri Indah,2025-08-14,288,Logistik & Distribusi,Aktif
KDMP-00175,W0175,KDMP Cinta Sari,2025-11-08,64,Simpan Pinjam,Aktif
KDMP-00176,W0176,KDMP Karang Mulya,2026-02-02,99,Pertanian & Agroinput,Aktif
KDMP-00177,W0177,KDMP Wono Harjo,2026-02-09,128,Logistik & Distribusi,Aktif
KDMP-00178,W0178,KDMP Suka Kencana,2025-12-13,89,Logistik & Distribusi,Aktif
KDMP-00179,W0179,KDMP Mekar Jaya,2025-08-15,199,Perikanan,Aktif
KDMP-00180,W0180,KDMP Muara Aloh,2025-12-04,302,Pertanian & Agroinput,Aktif
KDMP-00181,W0181,KDMP Purwajaya,2025-08-08,277,Perikanan,Aktif
KDMP-00182,W0182,KDMP Muara Kaman Ulu,2026-03-27,86,Perikanan,Aktif
KDMP-00183,W0183,KDMP Muara Kebaq,2025-07-27,319,Simpan Pinjam,Aktif
KDMP-00184,W0184,KDMP Lamin Pulut,2025-12-19,273,Sembako & Ritel,Aktif
KDMP-00185,W0185,KDMP Tani Harapan,2025-10-22,247,Pertanian & Agroinput,Aktif
KDMP-00186,W0186,KDMP Bendang Raya,2025-07-18,80,Logistik & Distribusi,Aktif
KDMP-00187,W0187,KDMP Bahagia Jaya,2025-10-15,237,Sembako & Ritel,Aktif
KDMP-00188,W0188,KDMP Bumi Mukti,2026-02-17,46,Sembako & Ritel,Aktif
KDMP-00189,W0189,KDMP Wono Harjo,2025-10-12,102,Sembako & Ritel,Aktif
KDMP-00190,W0190,KDMP Bahagia Damai,2025-11-22,67,Logistik & Distribusi,Aktif
KDMP-00191,W0191,KDMP Suka Jaya,2025-11-20,166,Pertanian & Agroinput,Aktif
KDMP-00192,W0192,KDMP Bumi Mukti,2026-03-06,298,Sembako & Ritel,Aktif
KDMP-00193,W0193,KDMP Bumi Harjo,2025-10-06,160,Pertanian & Agroinput,Aktif
KDMP-00194,W0194,KDMP Pagadih,2026-03-17,149,Pertanian & Agroinput,Aktif
KDMP-00195,W0195,KDMP Sungai Batang,2025-12-27,65,Sembako & Ritel,Aktif
KDMP-00196,W0196,KDMP Sitalang,2025-09-10,142,Sembako & Ritel,Aktif
KDMP-00197,W0197,KDMP Canduang Koto Laweh,2025-09-25,228,Pertanian & Agroinput,Aktif
KDMP-00198,W0198,KDMP Tabek Panjang,2025-12-16,149,Pertanian & Agroinput,Aktif
