notifikasi_id,koperasi_id,tanggal,jenis_alert,status_tindak_lanjut
NTF-000037,KDMP-00018,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000038,KDMP-00019,2026-05-28,Skor turun 24.0 poin dari bulan sebelumnya,Baru
NTF-000039,KDMP-00019,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000040,KDMP-00019,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000041,KDMP-00019,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000042,KDMP-00020,2026-04-28,Skor turun 9.3 poin dari bulan sebelumnya,Baru
NTF-000043,KDMP-00020,2026-07-28,Skor turun 6.8 poin dari bulan sebelumnya,Baru
NTF-000044,KDMP-00021,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000045,KDMP-00021,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000046,KDMP-00021,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000047,KDMP-00021,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000048,KDMP-00021,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000049,KDMP-00021,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000050,KDMP-00022,2026-05-28,Skor turun 24.0 poin dari bulan sebelumnya,Baru
NTF-000051,KDMP-00023,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000052,KDMP-00024,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000053,KDMP-00024,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000054,KDMP-00024,2026-08-28,Skor turun 25.4 poin dari bulan sebelumnya,Baru
NTF-000055,KDMP-00025,2026-08-28,Skor turun 5.5 poin dari bulan sebelumnya,Baru
NTF-000056,KDMP-00026,2026-04-28,Skor turun 14.1 poin dari bulan sebelumnya,Baru
NTF-000057,KDMP-00026,2026-06-28,Skor turun 14.9 poin dari bulan sebelumnya,Baru
NTF-000058,KDMP-00026,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000059,KDMP-00026,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000060,KDMP-00027,2026-04-28,Skor turun 7.3 poin dari bulan sebelumnya,Baru
NTF-000061,KDMP-00027,2026-06-28,Skor turun 14.2 poin dari bulan sebelumnya,Baru
NTF-000062,KDMP-00027,2026-08-28,Skor turun 11.6 poin dari bulan sebelumnya,Baru
NTF-000063,KDMP-00028,2026-05-28,Skor turun 8.2 poin dari bulan sebelumnya,Baru
NTF-000064,KDMP-00028,2026-07-28,Skor turun 23.4 poin dari bulan sebelumnya,Baru
NTF-000065,KDMP-00028,2026-08-28,Skor turun 10.1 poin dari bulan sebelumnya,Baru
NTF-000066,KDMP-00030,2026-08-28,Skor turun 7.2 poin dari bulan sebelumnya,Baru
NTF-000067,KDMP-00031,2026-05-28,Skor turun 19.1 poin dari bulan sebelumnya,Baru
NTF-000068,KDMP-00031,2026-07-28,Skor turun 9.7 poin dari bulan sebelumnya,Baru
NTF-000069,KDMP-00032,2026-06-28,Skor turun 8.7 poin dari bulan sebelumnya,Baru
NTF-000070,KDMP-00032,2026-08-28,Skor turun 5.9 poin dari bulan sebelumnya,Baru
NTF-000071,KDMP-00034,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000072,KDMP-00034,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000073,KDMP-00035,2026-04-28,Skor turun 6.8 poin dari bulan sebelumnya,Baru
NTF-000074,KDMP-00035,2026-06-28,Skor turun 13.8 poin dari bulan sebelumnya,Baru
NTF-000075,KDMP-00036,2026-05-28,Skor turun 12.4 poin dari bulan sebelumnya,Baru
NTF-000076,KDMP-00036,2026-08-28,Skor turun 10.8 poin dari bulan sebelumnya,Baru
NTF-000077,KDMP-00037,2026-05-28,Skor turun 18.1 poin dari bulan sebelumnya,Baru
NTF-000078,KDMP-00037,2026-07-28,Skor turun 6.1 poin dari bulan sebelumnya,Baru
NTF-000079,KDMP-00038,2026-06-28,Skor turun 6.4 poin dari bulan sebelumnya,Baru
NTF-000080,KDMP-00038,2026-08-28,Skor turun 8.6 poin dari bulan sebelumnya,Baru
NTF-000081,KDMP-00039,2026-04-28,Skor turun 11.1 poin dari bulan sebelumnya,Baru
NTF-000082,KDMP-00039,2026-05-28,Skor turun 5.8 poin dari bulan sebelumnya,Baru
NTF-000083,KDMP-00041,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000084,KDMP-00042,2026-05-28,Skor turun 12.8 poin dari bulan sebelumnya,Baru
NTF-000085,KDMP-00042,2026-07-28,Skor turun 7.1 poin dari bulan sebelumnya,Baru
NTF-000086,KDMP-00042,2026-08-28,Skor turun 7.4 poin dari bulan sebelumnya,Baru
NTF-000087,KDMP-00043,2026-05-28,Skor turun 11.5 poin dari bulan sebelumnya,Baru
NTF-000088,KDMP-00043,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000089,KDMP-00043,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000090,KDMP-00043,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000091,KDMP-00044,2026-04-28,Skor turun 6.7 poin dari bulan sebelumnya,Baru
NTF-000092,KDMP-00045,2026-06-28,Skor turun 5.6 poin dari bulan sebelumnya,Baru
NTF-000093,KDMP-00045,2026-08-28,Skor turun 12.2 poin dari bulan sebelumnya,Baru
NTF-000094,KDMP-00046,2026-05-28,Skor turun 5.6 poin dari bulan sebelumnya,Baru
NTF-000095,KDMP-00046,2026-06-28,Skor turun 5.3 poin dari bulan sebelumnya,Baru
NTF-000096,KDMP-00048,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000097,KDMP-00048,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000098,KDMP-00048,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000099,KDMP-00048,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000100,KDMP-00048,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000101,KDMP-00048,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000102,KDMP-00049,2026-06-28,Skor turun 9.3 poin dari bulan sebelumnya,Baru
NTF-000103,KDMP-00050,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000104,KDMP-00050,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000105,KDMP-00050,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000106,KDMP-00050,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000107,KDMP-00050,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000108,KDMP-00050,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000109,KDMP-00051,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000110,KDMP-00051,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000111,KDMP-00051,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000112,KDMP-00052,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000113,KDMP-00052,2026-06-28,Skor turun 15.4 poin dari bulan sebelumnya,Baru
NTF-000114,KDMP-00053,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000115,KDMP-00053,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000116,KDMP-00053,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000117,KDMP-00053,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000118,KDMP-00053,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000119,KDMP-00053,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000120,KDMP-00054,2026-05-28,Skor turun 17.0 poin dari bulan sebelumnya,Baru
NTF-000121,KDMP-00054,2026-06-28,Skor turun 5.1 poin dari bulan sebelumnya,Baru
NTF-000122,KDMP-00054,2026-08-28,Skor turun 9.1 poin dari bulan sebelumnya,Baru
NTF-000123,KDMP-00055,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000124,KDMP-00055,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000125,KDMP-00055,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000126,KDMP-00055,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000127,KDMP-00055,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000128,KDMP-00055,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000129,KDMP-00056,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000130,KDMP-00056,2026-08-28,Skor turun 16.4 poin dari bulan sebelumnya,Baru
NTF-000131,KDMP-00057,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000132,KDMP-00057,2026-07-28,Skor turun 6.2 poin dari bulan sebelumnya,Baru
NTF-000133,KDMP-00058,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000134,KDMP-00058,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000135,KDMP-00058,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000136,KDMP-00058,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000137,KDMP-00058,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000138,KDMP-00058,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000139,KDMP-00059,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000140,KDMP-00059,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000141,KDMP-00060,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000142,KDMP-00060,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000143,KDMP-00062,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000144,KDMP-00062,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000145,KDMP-00062,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000146,KDMP-00062,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000147,KDMP-00062,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000148,KDMP-00062,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000149,KDMP-00063,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000150,KDMP-00063,2026-08-28,Skor turun 13.0 poin dari bulan sebelumnya,Baru
NTF-000151,KDMP-00064,2026-05-28,Skor turun 6.1 poin dari bulan sebelumnya,Baru
NTF-000152,KDMP-00064,2026-07-28,Skor turun 11.0 poin dari bulan sebelumnya,Baru
NTF-000153,KDMP-00065,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000154,KDMP-00065,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000155,KDMP-00065,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000156,KDMP-00066,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000157,KDMP-00066,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000158,KDMP-00066,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000159,KDMP-00066,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000160,KDMP-00066,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000161,KDMP-00066,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000162,KDMP-00068,2026-06-28,Skor turun 10.8 poin dari bulan sebelumnya,Baru
NTF-000163,KDMP-00069,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000164,KDMP-00069,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000165,KDMP-00069,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000166,KDMP-00069,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000167,KDMP-00069,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000168,KDMP-00069,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000169,KDMP-00070,2026-05-28,Skor turun 5.6 poin dari bulan sebelumnya,Baru
NTF-000170,KDMP-00070,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000171,KDMP-00070,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000172,KDMP-00071,2026-04-28,Skor turun 8.8 poin dari bulan sebelumnya,Baru
NTF-000173,KDMP-00071,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000174,KDMP-00071,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000175,KDMP-00071,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000176,KDMP-00072,2026-05-28,Skor turun 18.5 poin dari bulan sebelumnya,Baru
NTF-000177,KDMP-00072,2026-08-28,Skor turun 11.1 poin dari bulan sebelumnya,Baru
NTF-000178,KDMP-00073,2026-07-28,Skor turun 8.3 poin dari bulan sebelumnya,Baru
NTF-000179,KDMP-00074,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000180,KDMP-00074,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000181,KDMP-00075,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000182,KDMP-00076,2026-06-28,Skor turun 9.2 poin dari bulan sebelumnya,Baru
NTF-000183,KDMP-00078,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000184,KDMP-00078,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000185,KDMP-00079,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000186,KDMP-00079,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000187,KDMP-00079,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000188,KDMP-00079,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000189,KDMP-00079,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000190,KDMP-00079,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000191,KDMP-00080,2026-06-28,Skor turun 9.4 poin dari bulan sebelumnya,Baru
NTF-000192,KDMP-00081,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000193,KDMP-00081,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000194,KDMP-00081,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000195,KDMP-00081,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000196,KDMP-00081,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000197,KDMP-00081,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000198,KDMP-00082,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000199,KDMP-00082,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000200,KDMP-00082,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000201,KDMP-00082,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000202,KDMP-00082,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000203,KDMP-00082,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000204,KDMP-00083,2026-05-28,Skor turun 12.2 poin dari bulan sebelumnya,Baru
NTF-000205,KDMP-00083,2026-06-28,Skor turun 5.3 poin dari bulan sebelumnya,Baru
NTF-000206,KDMP-00083,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000207,KDMP-00083,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000208,KDMP-00084,2026-04-28,Skor turun 6.4 poin dari bulan sebelumnya,Baru
NTF-000209,KDMP-00084,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000210,KDMP-00084,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000211,KDMP-00084,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000212,KDMP-00085,2026-06-28,Skor turun 7.5 poin dari bulan sebelumnya,Baru
NTF-000213,KDMP-00086,2026-05-28,Skor turun 12.4 poin dari bulan sebelumnya,Baru
NTF-000214,KDMP-00086,2026-06-28,Skor turun 33.1 poin dari bulan sebelumnya,Baru
NTF-000215,KDMP-00086,2026-07-28,Skor turun 5.6 poin dari bulan sebelumnya,Baru
NTF-000216,KDMP-00087,2026-04-28,Skor turun 9.7 poin dari bulan sebelumnya,Baru
NTF-000217,KDMP-00087,2026-05-28,Skor turun 9.6 poin dari bulan sebelumnya,Baru
NTF-000218,KDMP-00087,2026-07-28,Skor turun 5.7 poin dari bulan sebelumnya,Baru
NTF-000219,KDMP-00087,2026-08-28,Skor turun 10.2 poin dari bulan sebelumnya,Baru
NTF-000220,KDMP-00088,2026-05-28,Skor turun 13.2 poin dari bulan sebelumnya,Baru
NTF-000221,KDMP-00088,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000222,KDMP-00088,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000223,KDMP-00089,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000224,KDMP-00089,2026-08-28,Skor turun 15.4 poin dari bulan sebelumnya,Baru
NTF-000225,KDMP-00090,2026-04-28,Skor turun 8.4 poin dari bulan sebelumnya,Baru
NTF-000226,KDMP-00090,2026-05-28,Skor turun 8.0 poin dari bulan sebelumnya,Baru
NTF-000227,KDMP-00090,2026-06-28,Skor turun 7.3 poin dari bulan sebelumnya,Baru
NTF-000228,KDMP-00091,2026-05-28,Skor turun 7.0 poin dari bulan sebelumnya,Baru
NTF-000229,KDMP-00091,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000230,KDMP-00091,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000231,KDMP-00092,2026-05-28,Skor turun 11.5 poin dari bulan sebelumnya,Baru
NTF-000232,KDMP-00092,2026-07-28,Skor turun 10.4 poin dari bulan sebelumnya,Baru
NTF-000233,KDMP-00093,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000234,KDMP-00093,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000235,KDMP-00093,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000236,KDMP-00093,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000237,KDMP-00093,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000238,KDMP-00093,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000239,KDMP-00094,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000240,KDMP-00094,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000241,KDMP-00094,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000242,KDMP-00094,2026-08-28,Skor turun 10.0 poin dari bulan sebelumnya,Baru
NTF-000243,KDMP-00095,2026-04-28,Skor turun 10.7 poin dari bulan sebelumnya,Baru
NTF-000244,KDMP-00095,2026-07-28,Skor turun 14.8 poin dari bulan sebelumnya,Baru
NTF-000245,KDMP-00096,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000246,KDMP-00096,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000247,KDMP-00096,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000248,KDMP-00096,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000249,KDMP-00096,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000250,KDMP-00096,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000251,KDMP-00097,2026-05-28,Skor turun 10.3 poin dari bulan sebelumnya,Baru
NTF-000252,KDMP-00097,2026-07-28,Skor turun 9.3 poin dari bulan sebelumnya,Baru
NTF-000253,KDMP-00098,2026-07-28,Skor turun 22.0 poin dari bulan sebelumnya,Baru
NTF-000254,KDMP-00098,2026-08-28,Skor turun 8.2 poin dari bulan sebelumnya,Baru
NTF-000255,KDMP-00099,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000256,KDMP-00099,2026-08-28,Skor turun 5.5 poin dari bulan sebelumnya,Baru
NTF-000257,KDMP-00100,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000258,KDMP-00100,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000259,KDMP-00100,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000260,KDMP-00100,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000261,KDMP-00100,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000262,KDMP-00100,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000263,KDMP-00101,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000264,KDMP-00101,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000265,KDMP-00101,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000266,KDMP-00101,2026-08-28,Skor turun 9.7 poin dari bulan sebelumnya,Baru
NTF-000267,KDMP-00102,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000268,KDMP-00103,2026-05-28,Skor turun 12.4 poin dari bulan sebelumnya,Baru
NTF-000269,KDMP-00103,2026-07-28,Skor turun 14.7 poin dari bulan sebelumnya,Baru
NTF-000270,KDMP-00104,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000271,KDMP-00104,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000272,KDMP-00104,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000273,KDMP-00104,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000274,KDMP-00104,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000275,KDMP-00104,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000276,KDMP-00105,2026-04-28,Skor turun 12.5 poin dari bulan sebelumnya,Baru
NTF-000277,KDMP-00105,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000278,KDMP-00105,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000279,KDMP-00105,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000280,KDMP-00106,2026-04-28,Skor turun 12.4 poin dari bulan sebelumnya,Baru
NTF-000281,KDMP-00106,2026-06-28,Skor turun 6.8 poin dari bulan sebelumnya,Baru
NTF-000282,KDMP-00106,2026-07-28,Skor turun 9.5 poin dari bulan sebelumnya,Baru
NTF-000283,KDMP-00108,2026-05-28,Skor turun 7.4 poin dari bulan sebelumnya,Baru
NTF-000284,KDMP-00108,2026-08-28,Skor turun 8.5 poin dari bulan sebelumnya,Baru
NTF-000285,KDMP-00109,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000286,KDMP-00109,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000287,KDMP-00109,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000288,KDMP-00109,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000289,KDMP-00109,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000290,KDMP-00109,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000291,KDMP-00110,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000292,KDMP-00110,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000293,KDMP-00110,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000294,KDMP-00110,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000295,KDMP-00110,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000296,KDMP-00110,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000297,KDMP-00111,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000298,KDMP-00111,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000299,KDMP-00111,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000300,KDMP-00111,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000301,KDMP-00112,2026-04-28,Skor turun 15.3 poin dari bulan sebelumnya,Baru
NTF-000302,KDMP-00112,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000303,KDMP-00112,2026-08-28,Skor turun 6.1 poin dari bulan sebelumnya,Baru
NTF-000304,KDMP-00113,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000305,KDMP-00113,2026-04-28,Skor masuk kategori Kritis,Baru
NTF-000306,KDMP-00113,2026-05-28,Skor masuk kategori Kritis,Baru
NTF-000307,KDMP-00113,2026-06-28,Skor masuk kategori Kritis,Baru
NTF-000308,KDMP-00113,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000309,KDMP-00113,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000310,KDMP-00114,2026-04-28,Skor turun 16.4 poin dari bulan sebelumnya,Baru
NTF-000311,KDMP-00114,2026-06-28,Skor turun 46.1 poin dari bulan sebelumnya,Baru
NTF-000312,KDMP-00114,2026-07-28,Skor masuk kategori Kritis,Baru
NTF-000313,KDMP-00114,2026-08-28,Skor masuk kategori Kritis,Baru
NTF-000314,KDMP-00115,2026-04-28,Skor turun 6.2 poin dari bulan sebelumnya,Baru
NTF-000315,KDMP-00115,2026-06-28,Skor turun 21.4 poin dari bulan sebelumnya,Baru
NTF-000316,KDMP-00116,2026-06-28,Skor turun 12.4 poin dari bulan sebelumnya,Baru
NTF-000317,KDMP-00117,2026-03-28,Skor masuk kategori Kritis,Baru
NTF-000318,KDMP-00117,2026-04-28,Skor masuk kategori Kritis,Baru
