stok_id,koperasi_id,tanggal_pencatatan,jenis_barang,jumlah_unit,nilai_rupiah
STK-000252,KDMP-00042,2026-08-13,Minyak Goreng,441,6577000.0
STK-000253,KDMP-00043,2026-03-31,Beras,177,4157000.0
STK-000254,KDMP-00043,2026-04-30,Minyak Goreng,344,4840000.0
STK-000255,KDMP-00043,2026-05-31,Pupuk,389,3528000.0
STK-000256,KDMP-00043,2026-06-30,Beras,218,5391000.0
STK-000257,KDMP-00043,2026-07-31,Minyak Goreng,109,2459000.0
STK-000258,KDMP-00043,2026-08-13,Gula,91,1016000.0
STK-000259,KDMP-00044,2026-03-31,Beras,645,6475000.0
STK-000260,KDMP-00044,2026-04-30,Beras,365,6480000.0
STK-000261,KDMP-00044,2026-05-31,Beras,417,6157000.0
STK-000262,KDMP-00044,2026-06-30,Beras,406,3490000.0
STK-000263,KDMP-00044,2026-07-31,Minyak Goreng,709,9903000.0
STK-000264,KDMP-00044,2026-08-13,Beras,654,15310000.0
STK-000265,KDMP-00045,2026-03-31,Gula,420,8545000.0
STK-000266,KDMP-00045,2026-04-30,Sembako Campuran,535,10821000.0
STK-000267,KDMP-00045,2026-05-31,Minyak Goreng,811,15577000.0
STK-000268,KDMP-00045,2026-06-30,Gula,421,4447000.0
STK-000269,KDMP-00045,2026-07-31,Sembako Campuran,633,14680000.0
STK-000270,KDMP-00045,2026-08-13,Gula,307,4354000.0
STK-000271,KDMP-00046,2026-03-31,Minyak Goreng,365,7771000.0
STK-000272,KDMP-00046,2026-04-30,Gula,193,2288000.0
STK-000273,KDMP-00046,2026-05-31,Gula,200,1718000.0
STK-000274,KDMP-00046,2026-06-30,Beras,123,3025000.0
STK-000275,KDMP-00046,2026-07-31,Beras,229,3770000.0
STK-000276,KDMP-00046,2026-08-13,Minyak Goreng,364,8047000.0
STK-000277,KDMP-00047,2026-03-31,Minyak Goreng,351,5740000.0
STK-000278,KDMP-00047,2026-04-30,Sembako Campuran,502,11230000.0
STK-000279,KDMP-00047,2026-05-31,Minyak Goreng,829,16184000.0
STK-000280,KDMP-00047,2026-06-30,Gula,914,14972000.0
STK-000281,KDMP-00047,2026-07-31,Pupuk,821,14023000.0
STK-000282,KDMP-00047,2026-08-13,Pupuk,620,8378000.0
STK-000283,KDMP-00048,2026-03-31,Minyak Goreng,34,833000.0
STK-000284,KDMP-00048,2026-04-30,Minyak Goreng,173,1801000.0
STK-000285,KDMP-00048,2026-05-31,Sembako Campuran,79,1484000.0
STK-000286,KDMP-00048,2026-06-30,Sembako Campuran,122,1694000.0
STK-000287,KDMP-00048,2026-07-31,Minyak Goreng,84,2087000.0
STK-000288,KDMP-00048,2026-08-13,Gula,85,1265000.0
STK-000289,KDMP-00049,2026-03-31,Pupuk,780,19406000.0
STK-000290,KDMP-00049,2026-04-30,Minyak Goreng,654,15241000.0
STK-000291,KDMP-00049,2026-05-31,Minyak Goreng,727,14740000.0
STK-000292,KDMP-00049,2026-06-30,Pupuk,629,10716000.0
STK-000293,KDMP-00049,2026-07-31,Minyak Goreng,760,9643000.0
STK-000294,KDMP-00049,2026-08-13,Sembako Campuran,632,7518000.0
STK-000295,KDMP-00050,2026-03-31,Pupuk,91,1739000.0
STK-000296,KDMP-00050,2026-04-30,Gula,102,940000.0
STK-000297,KDMP-00050,2026-05-31,Pupuk,85,1415000.0
STK-000298,KDMP-00050,2026-06-30,Gula,36,795000.0
STK-000299,KDMP-00050,2026-07-31,Pupuk,67,893000.0
STK-000300,KDMP-00050,2026-08-13,Sembako Campuran,9,121000.0
STK-000301,KDMP-00051,2026-03-31,Beras,266,4960000.0
STK-000302,KDMP-00051,2026-04-30,Beras,445,9010000.0
STK-000303,KDMP-00051,2026-05-31,Pupuk,640,12445000.0
STK-000304,KDMP-00051,2026-06-30,Beras,3,72000.0
STK-000305,KDMP-00051,2026-07-31,Sembako Campuran,64,1583000.0
STK-000306,KDMP-00051,2026-08-13,Minyak Goreng,97,1366000.0
STK-000307,KDMP-00052,2026-03-31,Beras,315,6864000.0
STK-000308,KDMP-00052,2026-04-30,Beras,230,2459000.0
STK-000309,KDMP-00052,2026-05-31,Minyak Goreng,332,5456000.0
STK-000310,KDMP-00052,2026-06-30,Minyak Goreng,152,2011000.0
STK-000311,KDMP-00052,2026-07-31,Sembako Campuran,335,5129000.0
STK-000312,KDMP-00052,2026-08-13,Gula,264,5017000.0
STK-000313,KDMP-00053,2026-03-31,Beras,153,2458000.0
STK-000314,KDMP-00053,2026-04-30,Beras,73,1184000.0
STK-000315,KDMP-00053,2026-05-31,Gula,150,1673000.0
STK-000316,KDMP-00053,2026-06-30,Pupuk,89,755000.0
STK-000317,KDMP-00053,2026-07-31,Gula,111,1897000.0
STK-000318,KDMP-00053,2026-08-13,Minyak Goreng,41,493000.0
STK-000319,KDMP-00054,2026-03-31,Pupuk,913,21275000.0
STK-000320,KDMP-00054,2026-04-30,Gula,666,12460000.0
STK-000321,KDMP-00054,2026-05-31,Sembako Campuran,383,9274000.0
STK-000322,KDMP-00054,2026-06-30,Beras,357,3613000.0
STK-000323,KDMP-00054,2026-07-31,Beras,449,6279000.0
STK-000324,KDMP-00054,2026-08-13,Pupuk,393,5670000.0
STK-000325,KDMP-00055,2026-03-31,Gula,69,1633000.0
STK-000326,KDMP-00055,2026-04-30,Sembako Campuran,7,73000.0
STK-000327,KDMP-00055,2026-05-31,Gula,46,794000.0
STK-000328,KDMP-00055,2026-06-30,Gula,45,703000.0
STK-000329,KDMP-00055,2026-07-31,Minyak Goreng,144,1370000.0
STK-000330,KDMP-00055,2026-08-13,Beras,51,1007000.0
STK-000331,KDMP-00056,2026-03-31,Minyak Goreng,146,1225000.0
STK-000332,KDMP-00056,2026-04-30,Beras,251,4015000.0
STK-000333,KDMP-00056,2026-05-31,Gula,214,2703000.0
STK-000334,KDMP-00056,2026-06-30,Beras,407,6310000.0
STK-000335,KDMP-00056,2026-07-31,Sembako Campuran,336,4733000.0
STK-000336,KDMP-00056,2026-08-13,Pupuk,231,2657000.0
STK-000337,KDMP-00057,2026-03-31,Pupuk,236,2607000.0
STK-000338,KDMP-00057,2026-04-30,Minyak Goreng,203,3221000.0
STK-000339,KDMP-00057,2026-05-31,Pupuk,168,1568000.0
STK-000340,KDMP-00057,2026-06-30,Sembako Campuran,393,7291000.0
STK-000341,KDMP-00057,2026-07-31,Pupuk,399,7341000.0
STK-000342,KDMP-00057,2026-08-13,Pupuk,312,4801000.0
STK-000343,KDMP-00058,2026-03-31,Pupuk,89,2035000.0
STK-000344,KDMP-00058,2026-04-30,Beras,40,495000.0
STK-000345,KDMP-00058,2026-05-31,Sembako Campuran,45,453000.0
STK-000346,KDMP-00058,2026-06-30,Minyak Goreng,98,2038000.0
STK-000347,KDMP-00058,2026-07-31,Sembako Campuran,169,2095000.0
STK-000348,KDMP-00058,2026-08-13,Gula,41,942000.0
STK-000349,KDMP-00059,2026-03-31,Sembako Campuran,255,4971000.0
STK-000350,KDMP-00059,2026-04-30,Sembako Campuran,171,3093000.0
STK-000351,KDMP-00059,2026-05-31,Minyak Goreng,285,4591000.0
STK-000352,KDMP-00059,2026-06-30,Sembako Campuran,337,5751000.0
STK-000353,KDMP-00059,2026-07-31,Minyak Goreng,388,3762000.0
STK-000354,KDMP-00059,2026-08-13,Sembako Campuran,113,2622000.0
STK-000355,KDMP-00060,2026-03-31,Gula,160,1751000.0
STK-000356,KDMP-00060,2026-04-30,Sembako Campuran,286,3753000.0
STK-000357,KDMP-00060,2026-05-31,Gula,187,3752000.0
STK-000358,KDMP-00060,2026-06-30,Minyak Goreng,209,3753000.0
STK-000359,KDMP-00060,2026-07-31,Sembako Campuran,82,1077000.0
STK-000360,KDMP-00060,2026-08-13,Minyak Goreng,128,3045000.0
STK-000361,KDMP-00061,2026-03-31,Beras,327,2920000.0
STK-000362,KDMP-00061,2026-04-30,Minyak Goreng,565,7937000.0
STK-000363,KDMP-00061,2026-05-31,Pupuk,410,9301000.0
STK-000364,KDMP-00061,2026-06-30,Sembako Campuran,895,15205000.0
STK-000365,KDMP-00061,2026-07-31,Gula,546,7500000.0
STK-000366,KDMP-00061,2026-08-13,Beras,844,12925000.0
STK-000367,KDMP-00062,2026-03-31,Pupuk,99,2381000.0
STK-000368,KDMP-00062,2026-04-30,Pupuk,86,965000.0
STK-000369,KDMP-00062,2026-05-31,Sembako Campuran,33,305000.0
STK-000370,KDMP-00062,2026-06-30,Minyak Goreng,7,80000.0
STK-000371,KDMP-00062,2026-07-31,Minyak Goreng,57,1360000.0
STK-000372,KDMP-00062,2026-08-13,Pupuk,34,451000.0
STK-000373,KDMP-00063,2026-03-31,Beras,158,3026000.0
STK-000374,KDMP-00063,2026-04-30,Gula,241,4854000.0
STK-000375,KDMP-00063,2026-05-31,Gula,289,6247000.0
STK-000376,KDMP-00063,2026-06-30,Sembako Campuran,292,2475000.0
STK-000377,KDMP-00063,2026-07-31,Minyak Goreng,470,8962000.0
STK-000378,KDMP-00063,2026-08-13,Beras,246,5118000.0
STK-000379,KDMP-00064,2026-03-31,Gula,729,6943000.0
STK-000380,KDMP-00064,2026-04-30,Minyak Goreng,466,7418000.0
STK-000381,KDMP-00064,2026-05-31,Beras,529,11799000.0
STK-000382,KDMP-00064,2026-06-30,Pupuk,579,12422000.0
STK-000383,KDMP-00064,2026-07-31,Sembako Campuran,434,9486000.0
STK-000384,KDMP-00064,2026-08-13,Gula,602,8279000.0
STK-000385,KDMP-00065,2026-03-31,Minyak Goreng,402,8368000.0
STK-000386,KDMP-00065,2026-04-30,Sembako Campuran,158,3934000.0
STK-000387,KDMP-00065,2026-05-31,Pupuk,125,1035000.0
STK-000388,KDMP-00065,2026-06-30,Beras,331,3861000.0
STK-000389,KDMP-00065,2026-07-31,Gula,127,1564000.0
STK-000390,KDMP-00065,2026-08-13,Gula,203,2048000.0
STK-000391,KDMP-00066,2026-03-31,Gula,68,1487000.0
STK-000392,KDMP-00066,2026-04-30,Sembako Campuran,24,387000.0
