skor_id,koperasi_id,periode,skor_transaksi,skor_stok,skor_pelaporan,skor_komposit,kategori,prediksi_risiko_3bln
SKR-KDMP-00014-2026-03,KDMP-00014,2026-03,89.4,89.4,100.0,92.9,Sehat,11.2
SKR-KDMP-00014-2026-04,KDMP-00014,2026-04,89.0,83.3,92.8,88.4,Sehat,13.7
SKR-KDMP-00014-2026-05,KDMP-00014,2026-05,77.3,94.4,83.4,85.0,Sehat,23.1
SKR-KDMP-00014-2026-06,KDMP-00014,2026-06,58.2,65.2,72.1,65.2,Waspada,60.6
SKR-KDMP-00014-2026-07,KDMP-00014,2026-07,63.1,80.3,60.8,68.1,Waspada,51.4
SKR-KDMP-00014-2026-08,KDMP-00014,2026-08,75.8,53.5,50.8,60.0,Waspada,45.6
SKR-KDMP-00015-2026-03,KDMP-00015,2026-03,60.7,45.2,86.9,64.3,Waspada,30.5
SKR-KDMP-00015-2026-04,KDMP-00015,2026-04,56.3,31.8,58.5,48.9,Waspada,50.5
SKR-KDMP-00015-2026-05,KDMP-00015,2026-05,45.3,41.4,54.9,47.2,Waspada,71.9
SKR-KDMP-00015-2026-06,KDMP-00015,2026-06,29.7,48.5,60.9,46.4,Waspada,58.2
SKR-KDMP-00015-2026-07,KDMP-00015,2026-07,35.6,25.8,48.3,36.6,Kritis,75.6
SKR-KDMP-00015-2026-08,KDMP-00015,2026-08,28.2,33.1,38.8,33.4,Kritis,81.3
SKR-KDMP-00016-2026-03,KDMP-00016,2026-03,97.0,100.0,98.8,98.6,Sehat,9.1
SKR-KDMP-00016-2026-04,KDMP-00016,2026-04,75.4,88.9,100.0,88.1,Sehat,14.2
SKR-KDMP-00016-2026-05,KDMP-00016,2026-05,94.1,75.8,94.4,88.1,Sehat,19.7
SKR-KDMP-00016-2026-06,KDMP-00016,2026-06,70.1,50.0,69.4,63.2,Waspada,63.1
SKR-KDMP-00016-2026-07,KDMP-00016,2026-07,62.4,78.8,63.5,68.2,Waspada,54.2
SKR-KDMP-00016-2026-08,KDMP-00016,2026-08,62.8,60.6,60.8,61.4,Waspada,40.3
SKR-KDMP-00017-2026-03,KDMP-00017,2026-03,56.6,62.6,62.5,60.6,Waspada,39.0
SKR-KDMP-00017-2026-04,KDMP-00017,2026-04,68.6,39.4,75.1,61.0,Waspada,34.3
SKR-KDMP-00017-2026-05,KDMP-00017,2026-05,55.4,71.7,89.7,72.3,Sehat,16.1
SKR-KDMP-00017-2026-06,KDMP-00017,2026-06,59.7,94.2,98.0,84.0,Sehat,6.5
SKR-KDMP-00017-2026-07,KDMP-00017,2026-07,99.2,62.6,92.6,84.8,Sehat,8.5
SKR-KDMP-00017-2026-08,KDMP-00017,2026-08,75.3,74.0,96.1,81.8,Sehat,18.7
SKR-KDMP-00018-2026-03,KDMP-00018,2026-03,29.2,63.1,83.4,58.6,Waspada,40.2
SKR-KDMP-00018-2026-04,KDMP-00018,2026-04,35.1,22.7,66.4,41.4,Waspada,58.4
SKR-KDMP-00018-2026-05,KDMP-00018,2026-05,53.9,37.1,59.2,50.1,Waspada,57.9
SKR-KDMP-00018-2026-06,KDMP-00018,2026-06,45.3,47.7,46.3,46.4,Waspada,50.7
SKR-KDMP-00018-2026-07,KDMP-00018,2026-07,33.1,53.8,38.7,41.9,Waspada,71.9
SKR-KDMP-00018-2026-08,KDMP-00018,2026-08,35.4,42.4,37.6,38.5,Kritis,73.7
SKR-KDMP-00019-2026-03,KDMP-00019,2026-03,50.3,70.2,71.3,63.9,Waspada,35.6
SKR-KDMP-00019-2026-04,KDMP-00019,2026-04,52.0,58.6,84.6,65.1,Waspada,31.6
SKR-KDMP-00019-2026-05,KDMP-00019,2026-05,43.1,25.5,54.6,41.1,Waspada,81.4
SKR-KDMP-00019-2026-06,KDMP-00019,2026-06,28.7,29.0,56.6,38.1,Kritis,85.7
SKR-KDMP-00019-2026-07,KDMP-00019,2026-07,31.3,40.7,44.8,38.9,Kritis,66.9
SKR-KDMP-00019-2026-08,KDMP-00019,2026-08,12.4,14.4,39.4,22.1,Kritis,89.2
SKR-KDMP-00020-2026-03,KDMP-00020,2026-03,59.6,79.5,63.3,67.5,Waspada,33.2
SKR-KDMP-00020-2026-04,KDMP-00020,2026-04,60.4,41.4,72.7,58.2,Waspada,38.7
SKR-KDMP-00020-2026-05,KDMP-00020,2026-05,69.4,82.8,80.4,77.5,Sehat,14.6
SKR-KDMP-00020-2026-06,KDMP-00020,2026-06,99.9,97.5,96.5,98.0,Sehat,1.5
SKR-KDMP-00020-2026-07,KDMP-00020,2026-07,95.3,78.3,100.0,91.2,Sehat,6.5
SKR-KDMP-00020-2026-08,KDMP-00020,2026-08,92.7,93.4,98.1,94.7,Sehat,12.0
SKR-KDMP-00021-2026-03,KDMP-00021,2026-03,15.5,0.5,39.5,18.5,Kritis,80.6
SKR-KDMP-00021-2026-04,KDMP-00021,2026-04,27.8,16.7,11.4,18.6,Kritis,83.3
SKR-KDMP-00021-2026-05,KDMP-00021,2026-05,5.1,6.1,31.3,14.2,Kritis,87.2
SKR-KDMP-00021-2026-06,KDMP-00021,2026-06,15.7,21.7,9.0,15.5,Kritis,87.5
SKR-KDMP-00021-2026-07,KDMP-00021,2026-07,3.0,2.0,5.7,3.6,Kritis,94.5
SKR-KDMP-00021-2026-08,KDMP-00021,2026-08,3.8,4.5,22.1,10.1,Kritis,89.8
SKR-KDMP-00022-2026-03,KDMP-00022,2026-03,78.2,52.5,87.3,72.7,Sehat,22.9
SKR-KDMP-00022-2026-04,KDMP-00022,2026-04,90.0,97.0,92.2,93.1,Sehat,11.2
SKR-KDMP-00022-2026-05,KDMP-00022,2026-05,79.8,44.4,83.2,69.1,Waspada,30.2
SKR-KDMP-00022-2026-06,KDMP-00022,2026-06,72.1,80.3,95.3,82.6,Sehat,24.5
SKR-KDMP-00022-2026-07,KDMP-00022,2026-07,77.1,89.9,95.1,87.4,Sehat,6.7
SKR-KDMP-00022-2026-08,KDMP-00022,2026-08,86.5,90.9,89.3,88.9,Sehat,10.7
SKR-KDMP-00023-2026-03,KDMP-00023,2026-03,46.0,35.9,44.4,42.1,Waspada,60.0
SKR-KDMP-00023-2026-04,KDMP-00023,2026-04,16.5,52.8,56.1,41.8,Waspada,62.2
SKR-KDMP-00023-2026-05,KDMP-00023,2026-05,31.6,33.3,74.5,46.5,Waspada,46.3
SKR-KDMP-00023-2026-06,KDMP-00023,2026-06,33.5,18.2,52.6,34.8,Kritis,73.2
SKR-KDMP-00023-2026-07,KDMP-00023,2026-07,57.1,31.3,71.4,53.3,Waspada,34.2
SKR-KDMP-00023-2026-08,KDMP-00023,2026-08,56.9,35.9,89.3,60.7,Waspada,12.8
SKR-KDMP-00024-2026-03,KDMP-00024,2026-03,16.5,32.3,44.0,30.9,Kritis,72.5
SKR-KDMP-00024-2026-04,KDMP-00024,2026-04,29.3,38.4,65.5,44.4,Waspada,55.1
SKR-KDMP-00024-2026-05,KDMP-00024,2026-05,26.5,24.7,53.6,34.9,Kritis,62.8
SKR-KDMP-00024-2026-06,KDMP-00024,2026-06,30.7,46.0,83.0,53.2,Waspada,33.7
SKR-KDMP-00024-2026-07,KDMP-00024,2026-07,70.6,70.7,90.1,77.1,Sehat,3.4
SKR-KDMP-00024-2026-08,KDMP-00024,2026-08,57.2,28.8,69.2,51.7,Waspada,48.0
SKR-KDMP-00025-2026-03,KDMP-00025,2026-03,96.5,81.3,99.3,92.4,Sehat,10.9
SKR-KDMP-00025-2026-04,KDMP-00025,2026-04,77.1,96.0,93.9,89.0,Sehat,14.2
SKR-KDMP-00025-2026-05,KDMP-00025,2026-05,78.0,91.9,84.5,84.8,Sehat,22.7
SKR-KDMP-00025-2026-06,KDMP-00025,2026-06,70.6,87.9,82.5,80.3,Sehat,27.8
SKR-KDMP-00025-2026-07,KDMP-00025,2026-07,86.1,92.9,92.6,90.5,Sehat,10.0
SKR-KDMP-00025-2026-08,KDMP-00025,2026-08,67.8,92.9,94.4,85.0,Sehat,13.9
SKR-KDMP-00026-2026-03,KDMP-00026,2026-03,55.3,60.6,71.8,62.6,Waspada,35.7
SKR-KDMP-00026-2026-04,KDMP-00026,2026-04,53.3,20.7,71.6,48.5,Waspada,48.3
SKR-KDMP-00026-2026-05,KDMP-00026,2026-05,38.3,51.3,75.2,54.9,Waspada,52.1
SKR-KDMP-00026-2026-06,KDMP-00026,2026-06,33.0,23.7,63.2,40.0,Waspada,69.3
SKR-KDMP-00026-2026-07,KDMP-00026,2026-07,20.7,22.7,60.2,34.5,Kritis,83.7
SKR-KDMP-00026-2026-08,KDMP-00026,2026-08,21.5,21.2,49.0,30.6,Kritis,79.3
SKR-KDMP-00027-2026-03,KDMP-00027,2026-03,92.7,80.6,100.0,91.1,Sehat,11.6
SKR-KDMP-00027-2026-04,KDMP-00027,2026-04,97.6,64.9,88.8,83.8,Sehat,15.4
SKR-KDMP-00027-2026-05,KDMP-00027,2026-05,91.8,85.4,88.6,88.6,Sehat,15.0
SKR-KDMP-00027-2026-06,KDMP-00027,2026-06,64.0,85.9,73.4,74.4,Sehat,36.0
SKR-KDMP-00027-2026-07,KDMP-00027,2026-07,77.7,83.3,64.8,75.3,Sehat,38.3
SKR-KDMP-00027-2026-08,KDMP-00027,2026-08,66.5,62.1,62.6,63.7,Waspada,47.9
SKR-KDMP-00028-2026-03,KDMP-00028,2026-03,86.1,85.4,82.1,84.5,Sehat,16.7
SKR-KDMP-00028-2026-04,KDMP-00028,2026-04,96.1,83.8,96.8,92.2,Sehat,11.1
SKR-KDMP-00028-2026-05,KDMP-00028,2026-05,81.8,79.3,90.8,84.0,Sehat,16.8
SKR-KDMP-00028-2026-06,KDMP-00028,2026-06,70.8,81.8,89.0,80.5,Sehat,29.2
SKR-KDMP-00028-2026-07,KDMP-00028,2026-07,56.8,50.0,64.4,57.1,Waspada,72.3
SKR-KDMP-00028-2026-08,KDMP-00028,2026-08,36.1,30.6,74.2,47.0,Waspada,83.3
SKR-KDMP-00029-2026-03,KDMP-00029,2026-03,30.2,46.0,50.5,42.2,Waspada,61.0
SKR-KDMP-00029-2026-04,KDMP-00029,2026-04,49.2,31.3,61.3,47.3,Waspada,51.0
SKR-KDMP-00029-2026-05,KDMP-00029,2026-05,28.3,51.3,61.7,47.1,Waspada,49.1
SKR-KDMP-00029-2026-06,KDMP-00029,2026-06,29.9,47.7,50.9,42.8,Waspada,65.6
SKR-KDMP-00029-2026-07,KDMP-00029,2026-07,40.4,31.3,80.6,50.8,Waspada,40.7
SKR-KDMP-00029-2026-08,KDMP-00029,2026-08,54.2,63.4,52.2,56.6,Waspada,29.8
SKR-KDMP-00030-2026-03,KDMP-00030,2026-03,73.1,37.4,67.4,59.3,Waspada,36.5
SKR-KDMP-00030-2026-04,KDMP-00030,2026-04,58.1,85.9,72.5,72.2,Sehat,27.6
SKR-KDMP-00030-2026-05,KDMP-00030,2026-05,76.0,52.0,79.4,69.1,Waspada,19.0
SKR-KDMP-00030-2026-06,KDMP-00030,2026-06,82.1,95.5,88.7,88.8,Sehat,6.9
SKR-KDMP-00030-2026-07,KDMP-00030,2026-07,99.7,97.5,100.0,99.1,Sehat,2.3
SKR-KDMP-00030-2026-08,KDMP-00030,2026-08,94.7,85.9,95.0,91.9,Sehat,10.4
SKR-KDMP-00031-2026-03,KDMP-00031,2026-03,91.4,68.2,99.0,86.2,Sehat,13.5
SKR-KDMP-00031-2026-04,KDMP-00031,2026-04,100.0,99.5,90.8,96.8,Sehat,9.9
SKR-KDMP-00031-2026-05,KDMP-00031,2026-05,66.2,84.3,82.7,77.7,Sehat,30.7
SKR-KDMP-00031-2026-06,KDMP-00031,2026-06,72.6,73.2,72.5,72.8,Sehat,52.0
SKR-KDMP-00031-2026-07,KDMP-00031,2026-07,63.9,52.0,73.5,63.1,Waspada,50.7
SKR-KDMP-00031-2026-08,KDMP-00031,2026-08,58.5,74.0,53.1,61.9,Waspada,52.4
SKR-KDMP-00032-2026-03,KDMP-00032,2026-03,92.4,77.0,93.9,87.8,Sehat,13.4
SKR-KDMP-00032-2026-04,KDMP-00032,2026-04,90.3,71.2,91.7,84.4,Sehat,15.3
SKR-KDMP-00032-2026-05,KDMP-00032,2026-05,93.1,100.0,94.5,95.9,Sehat,7.2
SKR-KDMP-00032-2026-06,KDMP-00032,2026-06,92.4,77.8,91.5,87.2,Sehat,12.7
SKR-KDMP-00032-2026-07,KDMP-00032,2026-07,84.6,99.0,95.2,92.9,Sehat,13.3
SKR-KDMP-00032-2026-08,KDMP-00032,2026-08,76.5,91.9,92.7,87.0,Sehat,15.5
SKR-KDMP-00033-2026-03,KDMP-00033,2026-03,72.9,58.6,63.3,64.9,Waspada,33.2
SKR-KDMP-00033-2026-04,KDMP-00033,2026-04,61.6,85.4,79.5,75.5,Sehat,24.0
SKR-KDMP-00033-2026-05,KDMP-00033,2026-05,66.7,77.8,84.3,76.3,Sehat,14.6
SKR-KDMP-00033-2026-06,KDMP-00033,2026-06,73.4,100.0,88.3,87.2,Sehat,9.6
SKR-KDMP-00033-2026-07,KDMP-00033,2026-07,88.4,95.7,100.0,94.7,Sehat,4.8
SKR-KDMP-00033-2026-08,KDMP-00033,2026-08,85.2,85.1,100.0,90.1,Sehat,11.2
SKR-KDMP-00034-2026-03,KDMP-00034,2026-03,33.5,29.8,47.4,36.9,Kritis,65.2
SKR-KDMP-00034-2026-04,KDMP-00034,2026-04,17.8,42.4,53.1,37.8,Kritis,65.6
SKR-KDMP-00034-2026-05,KDMP-00034,2026-05,52.4,37.9,74.1,54.8,Waspada,23.0
SKR-KDMP-00034-2026-06,KDMP-00034,2026-06,37.2,47.0,73.4,52.5,Waspada,30.4
SKR-KDMP-00034-2026-07,KDMP-00034,2026-07,55.1,45.5,83.7,61.4,Waspada,27.2
SKR-KDMP-00034-2026-08,KDMP-00034,2026-08,41.7,54.5,94.1,63.4,Waspada,22.4
SKR-KDMP-00035-2026-03,KDMP-00035,2026-03,44.4,38.4,77.1,53.3,Waspada,43.5
SKR-KDMP-00035-2026-04,KDMP-00035,2026-04,49.0,23.2,67.3,46.5,Waspada,51.1
SKR-KDMP-00035-2026-05,KDMP-00035,2026-05,29.0,63.6,77.4,56.7,Waspada,38.7
SKR-KDMP-00035-2026-06,KDMP-00035,2026-06,30.4,30.3,68.0,42.9,Waspada,61.3
SKR-KDMP-00035-2026-07,KDMP-00035,2026-07,30.1,55.6,50.8,45.5,Waspada,70.0
SKR-KDMP-00035-2026-08,KDMP-00035,2026-08,60.5,68.2,63.8,64.2,Waspada,16.3
SKR-KDMP-00036-2026-03,KDMP-00036,2026-03,39.0,42.9,56.9,46.3,Waspada,54.8
SKR-KDMP-00036-2026-04,KDMP-00036,2026-04,39.4,63.6,72.1,58.4,Waspada,40.5
SKR-KDMP-00036-2026-05,KDMP-00036,2026-05,28.5,37.1,72.4,46.0,Waspada,54.3
SKR-KDMP-00036-2026-06,KDMP-00036,2026-06,52.9,27.8,75.2,52.0,Waspada,50.6
SKR-KDMP-00036-2026-07,KDMP-00036,2026-07,52.1,71.2,56.7,60.0,Waspada,26.7
SKR-KDMP-00036-2026-08,KDMP-00036,2026-08,42.7,45.7,59.3,49.2,Waspada,55.3
SKR-KDMP-00037-2026-03,KDMP-00037,2026-03,86.6,75.3,96.3,86.1,Sehat,14.2
SKR-KDMP-00037-2026-04,KDMP-00037,2026-04,86.0,92.4,100.0,92.8,Sehat,11.3
SKR-KDMP-00037-2026-05,KDMP-00037,2026-05,94.1,48.5,81.4,74.7,Sehat,32.0
SKR-KDMP-00037-2026-06,KDMP-00037,2026-06,62.2,74.2,81.9,72.8,Sehat,46.7
SKR-KDMP-00037-2026-07,KDMP-00037,2026-07,60.6,74.7,64.8,66.7,Waspada,42.4
SKR-KDMP-00037-2026-08,KDMP-00037,2026-08,66.0,78.8,58.6,67.8,Waspada,38.3
SKR-KDMP-00038-2026-03,KDMP-00038,2026-03,77.9,97.5,83.3,86.2,Sehat,16.5
SKR-KDMP-00038-2026-04,KDMP-00038,2026-04,93.1,78.3,98.4,89.9,Sehat,12.0
SKR-KDMP-00038-2026-05,KDMP-00038,2026-05,85.2,99.5,98.7,94.5,Sehat,7.7
SKR-KDMP-00038-2026-06,KDMP-00038,2026-06,86.9,92.9,84.5,88.1,Sehat,16.1
SKR-KDMP-00038-2026-07,KDMP-00038,2026-07,74.9,94.9,97.3,89.0,Sehat,17.2
SKR-KDMP-00038-2026-08,KDMP-00038,2026-08,83.5,76.8,80.9,80.4,Sehat,25.7
SKR-KDMP-00039-2026-03,KDMP-00039,2026-03,51.3,63.6,72.0,62.3,Waspada,36.5
SKR-KDMP-00039-2026-04,KDMP-00039,2026-04,29.0,56.3,68.4,51.2,Waspada,50.5
SKR-KDMP-00039-2026-05,KDMP-00039,2026-05,29.3,34.8,72.0,45.4,Waspada,72.0
SKR-KDMP-00039-2026-06,KDMP-00039,2026-06,54.7,29.0,52.1,45.3,Waspada,60.9
SKR-KDMP-00039-2026-07,KDMP-00039,2026-07,49.9,38.9,56.0,48.3,Waspada,48.0
SKR-KDMP-00039-2026-08,KDMP-00039,2026-08,37.0,40.4,66.5,48.0,Waspada,48.4
SKR-KDMP-00040-2026-03,KDMP-00040,2026-03,81.3,61.1,59.6,67.3,Waspada,31.1
SKR-KDMP-00040-2026-04,KDMP-00040,2026-04,56.6,74.2,73.7,68.2,Waspada,30.9
SKR-KDMP-00040-2026-05,KDMP-00040,2026-05,80.1,68.2,84.7,77.7,Sehat,13.3
SKR-KDMP-00040-2026-06,KDMP-00040,2026-06,79.9,77.3,84.6,80.6,Sehat,11.5
SKR-KDMP-00040-2026-07,KDMP-00040,2026-07,99.5,94.4,89.8,94.6,Sehat,5.1
SKR-KDMP-00040-2026-08,KDMP-00040,2026-08,80.9,95.5,99.6,92.0,Sehat,7.5
SKR-KDMP-00041-2026-03,KDMP-00041,2026-03,34.0,43.4,77.6,51.7,Waspada,46.4
SKR-KDMP-00041-2026-04,KDMP-00041,2026-04,42.7,63.1,77.0,60.9,Waspada,37.2
SKR-KDMP-00041-2026-05,KDMP-00041,2026-05,35.4,24.2,54.1,37.9,Kritis,77.2
SKR-KDMP-00041-2026-06,KDMP-00041,2026-06,20.5,58.8,51.8,43.7,Waspada,77.4
SKR-KDMP-00041-2026-07,KDMP-00041,2026-07,51.5,57.1,60.4,56.3,Waspada,24.3
SKR-KDMP-00041-2026-08,KDMP-00041,2026-08,58.0,64.4,72.1,64.8,Waspada,15.7
SKR-KDMP-00042-2026-03,KDMP-00042,2026-03,76.1,94.4,93.6,88.0,Sehat,14.6
SKR-KDMP-00042-2026-04,KDMP-00042,2026-04,89.3,81.8,100.0,90.4,Sehat,11.9
SKR-KDMP-00042-2026-05,KDMP-00042,2026-05,57.4,98.0,77.4,77.6,Sehat,34.7
SKR-KDMP-00042-2026-06,KDMP-00042,2026-06,78.8,69.9,81.4,76.7,Sehat,34.1
SKR-KDMP-00042-2026-07,KDMP-00042,2026-07,78.7,67.7,62.4,69.6,Waspada,37.9
SKR-KDMP-00042-2026-08,KDMP-00042,2026-08,61.7,72.2,52.7,62.2,Waspada,56.3
