transaksi_id,koperasi_id,tanggal,jenis_transaksi,nilai_rupiah,kategori_produk
TRX-0000200,KDMP-00010,2026-08-04,Pinjam,2890000.0,Sembako
TRX-0000201,KDMP-00011,2026-03-23,Simpan,213000.0,Sembako
TRX-0000202,KDMP-00011,2026-03-02,Pembelian,273000.0,Saprotan
TRX-0000203,KDMP-00011,2026-03-19,Pembelian,721000.0,Saprotan
TRX-0000204,KDMP-00011,2026-04-14,Simpan,648000.0,Sembako
TRX-0000205,KDMP-00011,2026-04-04,Penjualan,460000.0,Lainnya
TRX-0000206,KDMP-00011,2026-04-24,Penjualan,205000.0,Sembako
TRX-0000207,KDMP-00011,2026-05-26,Simpan,211000.0,Lainnya
TRX-0000208,KDMP-00011,2026-05-25,Pinjam,197000.0,Logistik
TRX-0000209,KDMP-00011,2026-05-22,Penjualan,410000.0,Logistik
TRX-0000210,KDMP-00011,2026-06-13,Simpan,192000.0,Simpan Pinjam
TRX-0000211,KDMP-00011,2026-06-29,Simpan,285000.0,Sembako
TRX-0000212,KDMP-00011,2026-07-02,Penjualan,193000.0,Lainnya
TRX-0000213,KDMP-00011,2026-07-18,Penjualan,449000.0,Saprotan
TRX-0000214,KDMP-00011,2026-08-11,Pembelian,178000.0,Simpan Pinjam
TRX-0000215,KDMP-00012,2026-03-06,Penjualan,590000.0,Lainnya
TRX-0000216,KDMP-00012,2026-03-18,Penjualan,1042000.0,Saprotan
TRX-0000217,KDMP-00012,2026-03-09,Penjualan,1399000.0,Simpan Pinjam
TRX-0000218,KDMP-00012,2026-04-12,Pembelian,2516000.0,Simpan Pinjam
TRX-0000219,KDMP-00012,2026-04-20,Penjualan,578000.0,Simpan Pinjam
TRX-0000220,KDMP-00012,2026-04-15,Simpan,1074000.0,Lainnya
TRX-0000221,KDMP-00012,2026-04-23,Pembelian,1851000.0,Lainnya
TRX-0000222,KDMP-00012,2026-04-26,Simpan,1641000.0,Logistik
TRX-0000223,KDMP-00012,2026-05-08,Pinjam,862000.0,Saprotan
TRX-0000224,KDMP-00012,2026-05-05,Simpan,2141000.0,Logistik
TRX-0000225,KDMP-00012,2026-05-12,Simpan,1328000.0,Logistik
TRX-0000226,KDMP-00012,2026-05-06,Penjualan,1520000.0,Saprotan
TRX-0000227,KDMP-00012,2026-06-07,Simpan,3070000.0,Sembako
TRX-0000228,KDMP-00012,2026-06-29,Penjualan,2589000.0,Lainnya
TRX-0000229,KDMP-00012,2026-06-27,Pinjam,2307000.0,Lainnya
TRX-0000230,KDMP-00012,2026-06-02,Simpan,1077000.0,Lainnya
TRX-0000231,KDMP-00012,2026-06-18,Pinjam,3078000.0,Simpan Pinjam
TRX-0000232,KDMP-00012,2026-07-19,Simpan,2921000.0,Simpan Pinjam
TRX-0000233,KDMP-00012,2026-07-17,Penjualan,1729000.0,Logistik
TRX-0000234,KDMP-00012,2026-07-01,Pembelian,1447000.0,Lainnya
TRX-0000235,KDMP-00012,2026-07-25,Pembelian,2342000.0,Logistik
TRX-0000236,KDMP-00012,2026-07-19,Pembelian,875000.0,Logistik
TRX-0000237,KDMP-00012,2026-08-08,Pembelian,1338000.0,Sembako
TRX-0000238,KDMP-00012,2026-08-04,Penjualan,1501000.0,Simpan Pinjam
TRX-0000239,KDMP-00012,2026-08-13,Simpan,2411000.0,Logistik
TRX-0000240,KDMP-00012,2026-08-08,Penjualan,2238000.0,Sembako
TRX-0000241,KDMP-00012,2026-08-06,Penjualan,4073000.0,Lainnya
TRX-0000242,KDMP-00013,2026-03-09,Pembelian,953000.0,Logistik
TRX-0000243,KDMP-00013,2026-03-12,Penjualan,786000.0,Lainnya
TRX-0000244,KDMP-00013,2026-03-30,Pembelian,416000.0,Lainnya
TRX-0000245,KDMP-00013,2026-04-16,Penjualan,536000.0,Lainnya
TRX-0000246,KDMP-00013,2026-04-15,Pembelian,844000.0,Simpan Pinjam
TRX-0000247,KDMP-00013,2026-04-21,Simpan,216000.0,Simpan Pinjam
TRX-0000248,KDMP-00013,2026-05-23,Penjualan,362000.0,Simpan Pinjam
TRX-0000249,KDMP-00013,2026-05-11,Penjualan,396000.0,Logistik
TRX-0000250,KDMP-00013,2026-06-06,Pinjam,276000.0,Sembako
TRX-0000251,KDMP-00013,2026-06-05,Pembelian,298000.0,Simpan Pinjam
TRX-0000252,KDMP-00013,2026-06-02,Pembelian,557000.0,Sembako
TRX-0000253,KDMP-00013,2026-07-13,Penjualan,358000.0,Saprotan
TRX-0000254,KDMP-00013,2026-08-08,Pinjam,348000.0,Simpan Pinjam
TRX-0000255,KDMP-00013,2026-08-07,Pembelian,225000.0,Lainnya
TRX-0000256,KDMP-00014,2026-03-17,Simpan,2613000.0,Simpan Pinjam
TRX-0000257,KDMP-00014,2026-03-11,Pinjam,2953000.0,Lainnya
TRX-0000258,KDMP-00014,2026-03-08,Pinjam,2504000.0,Logistik
TRX-0000259,KDMP-00014,2026-03-01,Pembelian,962000.0,Lainnya
TRX-0000260,KDMP-00014,2026-03-17,Pinjam,3408000.0,Simpan Pinjam
TRX-0000261,KDMP-00014,2026-04-20,Penjualan,1807000.0,Lainnya
TRX-0000262,KDMP-00014,2026-04-04,Penjualan,1886000.0,Logistik
TRX-0000263,KDMP-00014,2026-04-29,Penjualan,2334000.0,Logistik
TRX-0000264,KDMP-00014,2026-04-12,Penjualan,1940000.0,Lainnya
TRX-0000265,KDMP-00014,2026-04-26,Pinjam,1673000.0,Logistik
TRX-0000266,KDMP-00014,2026-05-09,Pinjam,1381000.0,Simpan Pinjam
TRX-0000267,KDMP-00014,2026-05-03,Simpan,2536000.0,Lainnya
TRX-0000268,KDMP-00014,2026-05-14,Simpan,2457000.0,Simpan Pinjam
TRX-0000269,KDMP-00014,2026-05-24,Penjualan,380000.0,Lainnya
TRX-0000270,KDMP-00014,2026-06-07,Simpan,1177000.0,Logistik
TRX-0000271,KDMP-00014,2026-06-05,Pinjam,1148000.0,Lainnya
TRX-0000272,KDMP-00014,2026-06-28,Pinjam,907000.0,Lainnya
TRX-0000273,KDMP-00014,2026-07-13,Pembelian,2115000.0,Logistik
TRX-0000274,KDMP-00014,2026-07-18,Pinjam,1304000.0,Simpan Pinjam
TRX-0000275,KDMP-00014,2026-07-18,Pinjam,968000.0,Saprotan
TRX-0000276,KDMP-00014,2026-08-07,Pembelian,1743000.0,Sembako
TRX-0000277,KDMP-00014,2026-08-08,Pembelian,1693000.0,Sembako
TRX-0000278,KDMP-00014,2026-08-07,Simpan,692000.0,Lainnya
TRX-0000279,KDMP-00014,2026-08-11,Penjualan,1442000.0,Simpan Pinjam
TRX-0000280,KDMP-00015,2026-03-03,Pembelian,176000.0,Logistik
TRX-0000281,KDMP-00015,2026-03-14,Penjualan,963000.0,Sembako
TRX-0000282,KDMP-00015,2026-03-12,Penjualan,396000.0,Lainnya
TRX-0000283,KDMP-00015,2026-03-13,Pinjam,203000.0,Lainnya
TRX-0000284,KDMP-00015,2026-04-20,Penjualan,766000.0,Simpan Pinjam
TRX-0000285,KDMP-00015,2026-04-15,Penjualan,706000.0,Simpan Pinjam
TRX-0000286,KDMP-00015,2026-04-30,Simpan,883000.0,Simpan Pinjam
TRX-0000287,KDMP-00015,2026-05-23,Pembelian,440000.0,Lainnya
TRX-0000288,KDMP-00015,2026-05-02,Simpan,229000.0,Simpan Pinjam
TRX-0000289,KDMP-00015,2026-05-06,Penjualan,529000.0,Saprotan
TRX-0000290,KDMP-00015,2026-06-13,Pembelian,601000.0,Lainnya
TRX-0000291,KDMP-00015,2026-06-23,Penjualan,149000.0,Sembako
TRX-0000292,KDMP-00015,2026-07-12,Simpan,628000.0,Saprotan
TRX-0000293,KDMP-00015,2026-07-31,Pembelian,240000.0,Logistik
TRX-0000294,KDMP-00015,2026-08-03,Pinjam,109000.0,Lainnya
TRX-0000295,KDMP-00015,2026-08-02,Simpan,163000.0,Saprotan
TRX-0000296,KDMP-00016,2026-03-27,Simpan,3584000.0,Logistik
TRX-0000297,KDMP-00016,2026-03-19,Pinjam,3897000.0,Simpan Pinjam
TRX-0000298,KDMP-00016,2026-03-31,Pinjam,3171000.0,Logistik
TRX-0000299,KDMP-00016,2026-03-28,Penjualan,3655000.0,Logistik
TRX-0000300,KDMP-00016,2026-03-03,Pinjam,940000.0,Simpan Pinjam
TRX-0000301,KDMP-00016,2026-03-08,Simpan,2891000.0,Logistik
TRX-0000302,KDMP-00016,2026-04-09,Pembelian,2703000.0,Saprotan
TRX-0000303,KDMP-00016,2026-04-22,Simpan,781000.0,Sembako
TRX-0000304,KDMP-00016,2026-04-06,Pinjam,2240000.0,Saprotan
TRX-0000305,KDMP-00016,2026-04-29,Simpan,1604000.0,Simpan Pinjam
TRX-0000306,KDMP-00016,2026-05-07,Pembelian,1848000.0,Simpan Pinjam
TRX-0000307,KDMP-00016,2026-05-07,Pembelian,2906000.0,Simpan Pinjam
TRX-0000308,KDMP-00016,2026-05-27,Simpan,2799000.0,Simpan Pinjam
TRX-0000309,KDMP-00016,2026-05-04,Penjualan,2641000.0,Logistik
TRX-0000310,KDMP-00016,2026-05-25,Penjualan,2173000.0,Logistik
TRX-0000311,KDMP-00016,2026-06-29,Simpan,1373000.0,Logistik
TRX-0000312,KDMP-00016,2026-06-25,Simpan,715000.0,Logistik
TRX-0000313,KDMP-00016,2026-06-19,Pembelian,799000.0,Sembako
TRX-0000314,KDMP-00016,2026-06-14,Pinjam,1444000.0,Lainnya
TRX-0000315,KDMP-00016,2026-07-22,Pembelian,906000.0,Logistik
TRX-0000316,KDMP-00016,2026-07-23,Pinjam,1870000.0,Saprotan
TRX-0000317,KDMP-00016,2026-07-01,Pembelian,1395000.0,Logistik
TRX-0000318,KDMP-00016,2026-08-05,Pembelian,865000.0,Lainnya
TRX-0000319,KDMP-00016,2026-08-05,Pinjam,699000.0,Lainnya
TRX-0000320,KDMP-00016,2026-08-03,Pinjam,834000.0,Logistik
TRX-0000321,KDMP-00017,2026-03-13,Simpan,887000.0,Logistik
TRX-0000322,KDMP-00017,2026-03-05,Pembelian,570000.0,Sembako
TRX-0000323,KDMP-00017,2026-03-26,Pembelian,1495000.0,Lainnya
TRX-0000324,KDMP-00017,2026-04-26,Pembelian,731000.0,Logistik
TRX-0000325,KDMP-00017,2026-04-06,Pinjam,2004000.0,Logistik
TRX-0000326,KDMP-00017,2026-04-29,Simpan,602000.0,Logistik
TRX-0000327,KDMP-00017,2026-04-18,Penjualan,948000.0,Logistik
TRX-0000328,KDMP-00017,2026-05-27,Simpan,450000.0,Logistik
TRX-0000329,KDMP-00017,2026-05-04,Pinjam,2089000.0,Saprotan
TRX-0000330,KDMP-00017,2026-05-12,Simpan,870000.0,Saprotan
TRX-0000331,KDMP-00017,2026-06-22,Pembelian,1146000.0,Lainnya
TRX-0000332,KDMP-00017,2026-06-21,Pembelian,1656000.0,Saprotan
TRX-0000333,KDMP-00017,2026-06-22,Pinjam,1155000.0,Logistik
TRX-0000334,KDMP-00017,2026-07-15,Pembelian,2496000.0,Simpan Pinjam
TRX-0000335,KDMP-00017,2026-07-30,Simpan,2584000.0,Logistik
TRX-0000336,KDMP-00017,2026-07-19,Pinjam,2554000.0,Sembako
TRX-0000337,KDMP-00017,2026-07-11,Pembelian,758000.0,Saprotan
TRX-0000338,KDMP-00017,2026-07-10,Simpan,1531000.0,Lainnya
TRX-0000339,KDMP-00017,2026-07-09,Pinjam,2597000.0,Saprotan
TRX-0000340,KDMP-00017,2026-07-17,Pinjam,2933000.0,Logistik
TRX-0000341,KDMP-00017,2026-08-04,Simpan,796000.0,Sembako
TRX-0000342,KDMP-00017,2026-08-07,Penjualan,1041000.0,Sembako
