kode_wilayah,provinsi,kabupaten_kota,kecamatan,desa_kelurahan,pmo_penanggung_jawab,latitude,longitude
W0025,Jawa Barat,Kota Bandung,Kec. Panca,Panca Makmur,PMO-BANDUNG,-7.00035,107.54386
W0026,Jawa Barat,Kota Bandung,Kec. Bumi,Bahagia Jaya,PMO-BANDUNG,-6.9535,107.58601
W0027,Jawa Barat,Kota Bandung,Kec. Tanjung,Cinta Mukti,PMO-BANDUNG,-6.83951,107.68766
W0028,Jawa Barat,Kota Bandung,Kec. Bumi,Sido Mulya,PMO-BANDUNG,-6.95361,107.64851
W0029,Jawa Barat,Kota Bandung,Kec. Bumi,Sumber Makmur,PMO-BANDUNG,-6.85398,107.62007
W0030,Jawa Barat,Kota Bandung,Kec. Tanjung,Karang Harjo,PMO-BANDUNG,-6.87408,107.6284
W0031,Jawa Barat,Kota Bandung,Kec. Sido,Sumber Damai,PMO-BANDUNG,-6.93014,107.53663
W0032,Jawa Timur,Kota Surabaya,Kec. Karang,Panca Kencana,PMO-SURABAYA,-7.19187,112.83782
W0033,Jawa Timur,Kota Surabaya,Kec. Mekar,Karang Kencana,PMO-SURABAYA,-7.19051,112.81665
W0034,Jawa Timur,Kota Surabaya,Kec. Bahagia,Bumi Makmur,PMO-SURABAYA,-7.29735,112.6746
W0035,Jawa Timur,Kota Surabaya,Kec. Karang,Mekar Sari,PMO-SURABAYA,-7.17424,112.70988
W0036,Jawa Timur,Kota Surabaya,Kec. Tanjung,Panca Makmur,PMO-SURABAYA,-7.21992,112.6624
W0037,Jawa Timur,Kota Surabaya,Kec. Sumber,Mekar Harjo,PMO-SURABAYA,-7.291,112.81474
W0038,Jawa Timur,Kota Surabaya,Kec. Bahagia,Karang Makmur,PMO-SURABAYA,-7.17823,112.78402
W0039,Jawa Timur,Kota Surabaya,Kec. Panca,Cinta Agung,PMO-SURABAYA,-7.22965,112.7458
W0040,Jawa Timur,Kota Surabaya,Kec. Bumi,Sido Harjo,PMO-SURABAYA,-7.28717,112.80942
W0041,Jawa Timur,Kota Surabaya,Kec. Mekar,Wono Damai,PMO-SURABAYA,-7.2729,112.77546
W0042,Jawa Timur,Kota Surabaya,Kec. Giri,Cinta Jaya,PMO-SURABAYA,-7.26388,112.76243
W0043,Jawa Timur,Kota Surabaya,Kec. Panca,Sumber Indah,PMO-SURABAYA,-7.18694,112.73891
W0044,Jawa Timur,Kab. Malang,Kec. Dau,Landungsari,PMO-MALANG,-8.13157,112.52256
W0045,Jawa Timur,Kab. Malang,Kec. Gondanglegi,Panggungrejo,PMO-MALANG,-8.14985,112.507
W0046,Jawa Timur,Kab. Malang,Kec. Jabung,Sidorejo,PMO-MALANG,-8.05593,112.58463
W0047,Jawa Timur,Kab. Malang,Kec. Karangploso,Tawangargo,PMO-MALANG,-8.08425,112.5778
W0048,Jawa Timur,Kab. Malang,Kec. Tirtoyudo,Sukorejo,PMO-MALANG,-8.09655,112.55228
W0049,Jawa Timur,Kab. Malang,Kec. Tirtoyudo,Jogomulyan,PMO-MALANG,-8.21392,112.59519
W0050,Jawa Timur,Kab. Malang,Kec. Tajinan,Ngawonggo,PMO-MALANG,-8.08178,112.54774
W0051,Jawa Timur,Kab. Malang,Kec. Gedangan,Sumberejo,PMO-MALANG,-8.20645,112.65181
W0052,Jawa Timur,Kab. Malang,Kec. Lawang,Sidoluhur,PMO-MALANG,-8.0482,112.56321
W0053,Jawa Timur,Kab. Malang,Kec. Ampelgading,Wirotaman,PMO-MALANG,-8.11464,112.6467
W0054,Jawa Timur,Kab. Malang,Kec. Bululawang,Sudimoro,PMO-MALANG,-8.06575,112.58757
W0055,Jawa Timur,Kab. Malang,Kec. Tirtoyudo,Pujiharjo,PMO-MALANG,-8.15738,112.63242
W0056,Jawa Timur,Kab. Sidoarjo,Kec. Buduran,Banjarkemantren,PMO-SIDOARJO,-7.36401,112.67691
W0057,Jawa Timur,Kab. Sidoarjo,Kec. Krembung,Tanjekwagir,PMO-SIDOARJO,-7.48759,112.70944
W0058,Jawa Timur,Kab. Sidoarjo,Kec. Sukodono,Masanganwetan,PMO-SIDOARJO,-7.49962,112.77191
W0059,Jawa Timur,Kab. Sidoarjo,Kec. Candi,Wedoroklurak,PMO-SIDOARJO,-7.40819,112.71624
W0060,Jawa Timur,Kab. Sidoarjo,Kec. Candi,Sugihwaras,PMO-SIDOARJO,-7.46501,112.67209
W0061,Jawa Timur,Kab. Sidoarjo,Kec. Taman,Krembangan,PMO-SIDOARJO,-7.48904,112.67355
W0062,Jawa Timur,Kab. Sidoarjo,Kec. Sukodono,Masangankulon,PMO-SIDOARJO,-7.48803,112.73443
W0063,Jawa Timur,Kab. Sidoarjo,Kec. Tanggulangin,Kedungbanteng,PMO-SIDOARJO,-7.48339,112.75574
W0064,Jawa Timur,Kab. Sidoarjo,Kec. Tarik,Kendalsewu,PMO-SIDOARJO,-7.43447,112.71279
W0065,Jawa Timur,Kab. Sidoarjo,Kec. Buduran,Siwalanpanji,PMO-SIDOARJO,-7.52447,112.7416
W0066,Jawa Tengah,Kab. Karanganyar,Kec. Jenawi,Jenawi,PMO-KARANGANYA,-7.5838,110.98832
W0067,Jawa Tengah,Kab. Karanganyar,Kec. Jenawi,Seloromo,PMO-KARANGANYA,-7.68026,111.04982
W0068,Jawa Tengah,Kab. Karanganyar,Kec. Mojogedang,Munggur,PMO-KARANGANYA,-7.67759,110.87748
W0069,Jawa Tengah,Kab. Karanganyar,Kec. Ngargoyoso,Berjo,PMO-KARANGANYA,-7.5248,111.01881
W0070,Jawa Tengah,Kab. Karanganyar,Kec. Jumantono,Ngunut,PMO-KARANGANYA,-7.67825,110.90687
W0071,Jawa Tengah,Kab. Karanganyar,Kec. Tasikmadu,Papahan,PMO-KARANGANYA,-7.56515,111.04668
W0072,Jawa Tengah,Kab. Karanganyar,Kec. Ngargoyoso,Girimulyo,PMO-KARANGANYA,-7.51796,111.02747
W0073,Jawa Tengah,Kab. Karanganyar,Kec. Mojogedang,Buntar,PMO-KARANGANYA,-7.57383,111.04189
W0074,Jawa Tengah,Kab. Karanganyar,Kec. Gondangrejo,Plesungan,PMO-KARANGANYA,-7.6311,110.99762
W0075,Jawa Tengah,Kab. Karanganyar,Kec. Kebakkramat,Alastuwo,PMO-KARANGANYA,-7.67525,110.92243
W0076,Jawa Tengah,Kab. Karanganyar,Kec. Matesih,Plosorejo,PMO-KARANGANYA,-7.59778,110.98907
W0077,Jawa Tengah,Kab. Karanganyar,Kec. Mojogedang,Ngadirejo,PMO-KARANGANYA,-7.66924,111.05217
W0078,Jawa Tengah,Kab. Semarang,Kec. Sumowono,Duren,PMO-SEMARANG,-7.05673,110.43719
W0079,Jawa Tengah,Kab. Semarang,Kec. Sumowono,Trayu,PMO-SEMARANG,-7.12797,110.38965
W0080,Jawa Tengah,Kab. Semarang,Kec. Bandungan,Candi,PMO-SEMARANG,-7.13581,110.4683
W0081,Jawa Tengah,Kab. Semarang,Kec. Bringin,Tanjung,PMO-SEMARANG,-7.14002,110.38044
W0082,Jawa Tengah,Kab. Semarang,Kec. Pabelan,Ujung-Ujung,PMO-SEMARANG,-7.07312,110.39454
W0083,Jawa Tengah,Kab. Semarang,Kec. Susukan,Ketapang,PMO-SEMARANG,-7.13679,110.42683
W0084,Jawa Tengah,Kab. Semarang,Kec. Susukan,Kemetul,PMO-SEMARANG,-7.21373,110.46127
W0085,Jawa Tengah,Kab. Semarang,Kec. Bandungan,Duren,PMO-SEMARANG,-7.13937,110.41798
W0086,Jawa Tengah,Kab. Semarang,Kec. Tengaran,Tegalwaton,PMO-SEMARANG,-7.09033,110.4473
W0087,Jawa Tengah,Kab. Semarang,Kec. Susukan,Kenteng,PMO-SEMARANG,-7.18324,110.39477
W0088,Jawa Tengah,Kab. Semarang,Kec. Pabelan,Bendungan,PMO-SEMARANG,-7.13762,110.42557
W0089,Jawa Tengah,Kota Surakarta,Kec. Wono,Karang Asih,PMO-SURAKARTA,-7.48772,110.78815
W0090,Jawa Tengah,Kota Surakarta,Kec. Panca,Cinta Agung,PMO-SURAKARTA,-7.56203,110.91298
W0091,Jawa Tengah,Kota Surakarta,Kec. Cinta,Wono Sari,PMO-SURAKARTA,-7.52115,110.77372
W0092,Jawa Tengah,Kota Surakarta,Kec. Tanjung,Bumi Mulya,PMO-SURAKARTA,-7.65949,110.79998
W0093,Jawa Tengah,Kota Surakarta,Kec. Tanjung,Sido Mukti,PMO-SURAKARTA,-7.61925,110.88274
W0094,Jawa Tengah,Kota Surakarta,Kec. Giri,Cinta Harjo,PMO-SURAKARTA,-7.48911,110.90841
W0095,Jawa Tengah,Kota Surakarta,Kec. Panca,Bumi Sari,PMO-SURAKARTA,-7.51746,110.90355
W0096,Jawa Tengah,Kota Surakarta,Kec. Bumi,Bumi Asih,PMO-SURAKARTA,-7.50181,110.78869
W0097,Jawa Tengah,Kota Surakarta,Kec. Karang,Cinta Mukti,PMO-SURAKARTA,-7.58384,110.85499
W0098,Jawa Tengah,Kota Surakarta,Kec. Tanjung,Panca Agung,PMO-SURAKARTA,-7.54125,110.77341
W0099,Jawa Tengah,Kota Surakarta,Kec. Bahagia,Sumber Mulya,PMO-SURAKARTA,-7.63133,110.75629
W0100,Jawa Tengah,Kota Surakarta,Kec. Panca,Cinta Jaya,PMO-SURAKARTA,-7.65315,110.87203
W0101,Sumatera Utara,Kab. Deli Serdang,Kec. Kutalimbaru,Suka Rende,PMO-DELISERDAN,3.57575,98.88424
W0102,Sumatera Utara,Kab. Deli Serdang,Kec. Namo Rambe,Lau Mulgap,PMO-DELISERDAN,3.40743,98.92051
W0103,Sumatera Utara,Kab. Deli Serdang,Kec. Stm Hulu,Bah Bah Buntu,PMO-DELISERDAN,3.48869,98.95717
W0104,Sumatera Utara,Kab. Deli Serdang,Kec. Galang,Kramat Gajah,PMO-DELISERDAN,3.47473,98.80643
W0105,Sumatera Utara,Kab. Deli Serdang,Kec. Biru-Biru,Aji Baho,PMO-DELISERDAN,3.51038,98.89237
W0106,Sumatera Utara,Kab. Deli Serdang,Kec. Sibolangit,Sayum Sabah,PMO-DELISERDAN,3.5515,98.90416
W0107,Sumatera Utara,Kab. Deli Serdang,Kec. Stm Hulu,Ranggit-Git,PMO-DELISERDAN,3.46977,98.91833
W0108,Sumatera Utara,Kab. Deli Serdang,Kec. Sibolangit,Buah Nabar,PMO-DELISERDAN,3.41478,98.80438
W0109,Sumatera Utara,Kab. Deli Serdang,Kec. Bangun Purba,Greahan,PMO-DELISERDAN,3.55525,98.9564
W0110,Sumatera Utara,Kab. Deli Serdang,Kec. Sunggal,Sukamaju,PMO-DELISERDAN,3.43629,98.90521
W0111,Sumatera Utara,Kab. Deli Serdang,Kec. Stm Hulu,Tiga Juhar,PMO-DELISERDAN,3.55013,98.96242
W0112,Sumatera Utara,Kab. Deli Serdang,Kec. Stm Hilir,Limau Mungkur,PMO-DELISERDAN,3.56388,98.85018
W0113,Sumatera Utara,Kota Medan,Kec. Karang,Wono Rejo,PMO-MEDAN,3.56129,98.64059
W0114,Sumatera Utara,Kota Medan,Kec. Bahagia,Wono Harjo,PMO-MEDAN,3.61447,98.65675
W0115,Sumatera Utara,Kota Medan,Kec. Suka,Bahagia Damai,PMO-MEDAN,3.542,98.75236
W0116,Sumatera Utara,Kota Medan,Kec. Sido,Cinta Mukti,PMO-MEDAN,3.65032,98.59517
W0117,Sumatera Utara,Kota Medan,Kec. Giri,Panca Agung,PMO-MEDAN,3.58038,98.60293
W0118,Sumatera Utara,Kota Medan,Kec. Bahagia,Mekar Makmur,PMO-MEDAN,3.57728,98.59636
W0119,Sumatera Utara,Kota Medan,Kec. Sido,Mekar Mukti,PMO-MEDAN,3.66827,98.64509
W0120,Sumatera Utara,Kota Medan,Kec. Karang,Bumi Asih,PMO-MEDAN,3.59414,98.718
W0121,Sumatera Utara,Kota Medan,Kec. Wono,Wono Asih,PMO-MEDAN,3.61885,98.72554
W0122,Sumatera Utara,Kota Medan,Kec. Bumi,Tanjung Asih,PMO-MEDAN,3.6159,98.67347
W0123,Sumatera Utara,Kota Medan,Kec. Mekar,Suka Indah,PMO-MEDAN,3.68203,98.59738
W0124,Sumatera Utara,Kota Medan,Kec. Sumber,Karang Rejo,PMO-MEDAN,3.57493,98.7216
W0125,Sulawesi Selatan,Kab. Gowa,Kec. Pallangga,Toddotoa,PMO-GOWA,-5.24825,119.64197
W0126,Sulawesi Selatan,Kab. Gowa,Kec. Bungaya,Bontomanai,PMO-GOWA,-5.27619,119.63929
W0127,Sulawesi Selatan,Kab. Gowa,Kec. Pattallasang,Panaikang,PMO-GOWA,-5.17872,119.60323
W0128,Sulawesi Selatan,Kab. Gowa,Kec. Bajeng,Lempangang,PMO-GOWA,-5.27151,119.56494
W0129,Sulawesi Selatan,Kab. Gowa,Kec. Pallangga,Bontoramba,PMO-GOWA,-5.14165,119.62295
W0130,Sulawesi Selatan,Kab. Gowa,Kec. Tombolopao,Ta'Binjai,PMO-GOWA,-5.23383,119.64123
W0131,Sulawesi Selatan,Kab. Gowa,Kec. Pallangga,Pallangga,PMO-GOWA,-5.12559,119.65289
W0132,Sulawesi Selatan,Kab. Gowa,Kec. Bontonompo Selatan,Salajangki,PMO-GOWA,-5.23066,119.60664
W0133,Sulawesi Selatan,Kab. Gowa,Kec. Barombong,Biringala,PMO-GOWA,-5.13123,119.63975
W0134,Sulawesi Selatan,Kab. Bantaeng,Kec. Eremerasa,Ulu Galung,PMO-BANTAENG,-5.45745,119.90557
W0135,Sulawesi Selatan,Kab. Bantaeng,Kec. Eremerasa,Lonrong,PMO-BANTAENG,-5.56032,119.87067
W0136,Sulawesi Selatan,Kab. Bantaeng,Kec. Uluere,Bonto Tallasa,PMO-BANTAENG,-5.54705,119.86655
W0137,Sulawesi Selatan,Kab. Bantaeng,Kec. Pajukukang,Biangkeke,PMO-BANTAENG,-5.58502,119.88753
W0138,Sulawesi Selatan,Kab. Bantaeng,Kec. Sinoa,Bonto Tiro,PMO-BANTAENG,-5.58425,119.89144
W0139,Sulawesi Selatan,Kab. Bantaeng,Kec. Bantaeng,Kayu Loe,PMO-BANTAENG,-5.45619,119.96353
W0140,Sulawesi Selatan,Kab. Bantaeng,Kec. Tompo Bulu,Balumbung,PMO-BANTAENG,-5.49328,119.92988
W0141,Sulawesi Selatan,Kota Makassar,Kec. Wono,Karang Harjo,PMO-MAKASSAR,-5.15156,119.37551
W0142,Sulawesi Selatan,Kota Makassar,Kec. Bahagia,Tanjung Mukti,PMO-MAKASSAR,-5.15249,119.34929
W0143,Sulawesi Selatan,Kota Makassar,Kec. Wono,Bahagia Kencana,PMO-MAKASSAR,-5.17667,119.37633
W0144,Sulawesi Selatan,Kota Makassar,Kec. Sido,Panca Jaya,PMO-MAKASSAR,-5.17988,119.35711
W0145,Sulawesi Selatan,Kota Makassar,Kec. Sumber,Suka Kencana,PMO-MAKASSAR,-5.05803,119.39212
W0146,Sulawesi Selatan,Kota Makassar,Kec. Bumi,Karang Damai,PMO-MAKASSAR,-5.23144,119.3548
W0147,Sulawesi Selatan,Kota Makassar,Kec. Mekar,Sumber Indah,PMO-MAKASSAR,-5.21291,119.40875
W0148,Sulawesi Selatan,Kota Makassar,Kec. Tanjung,Mekar Sari,PMO-MAKASSAR,-5.15737,119.52205
W0149,NTT,Kota Kupang,Kec. Sumber,Mekar Harjo,PMO-KUPANG,-10.20466,123.52869
W0150,NTT,Kota Kupang,Kec. Cinta,Cinta Asih,PMO-KUPANG,-10.22459,123.60592
W0151,NTT,Kota Kupang,Kec. Bahagia,Mekar Sari,PMO-KUPANG,-10.1378,123.61163
W0152,NTT,Kota Kupang,Kec. Sumber,Bumi Mukti,PMO-KUPANG,-10.10917,123.65745
W0153,NTT,Kota Kupang,Kec. Karang,Karang Sari,PMO-KUPANG,-10.20912,123.64468
W0154,NTT,Kota Kupang,Kec. Sido,Tanjung Damai,PMO-KUPANG,-10.17674,123.54735
W0155,NTT,Kota Kupang,Kec. Suka,Suka Asih,PMO-KUPANG,-10.12842,123.56464
W0156,NTT,Kota Kupang,Kec. Tanjung,Bumi Agung,PMO-KUPANG,-10.25406,123.52778
W0157,NTT,Kab. Kupang,Kec. Amabi Oefeto Timur,Oemofa,PMO-KUPANG,-10.13956,123.7728
W0158,NTT,Kab. Kupang,Kec. Kupang Barat,Oematnunu,PMO-KUPANG,-10.11086,123.77525
W0159,NTT,Kab. Kupang,Kec. Taebenu,Kuaklalo,PMO-KUPANG,-9.98383,123.79013
W0160,NTT,Kab. Kupang,Kec. Fatuleu Tengah,Oelbiteno,PMO-KUPANG,-10.09958,123.7152
W0161,NTT,Kab. Kupang,Kec. Amfoang Selatan,Oh'Aem,PMO-KUPANG,-10.03215,123.84359
W0162,NTT,Kab. Kupang,Kec. Taebenu,Baumata Timur,PMO-KUPANG,-10.08204,123.80507
W0163,NTT,Kab. Kupang,Kec. Amarasi Selatan,Retraen,PMO-KUPANG,-10.02721,123.74193
W0164,NTT,Kab. Kupang,Kec. Amabi Oefeto,Raknamo,PMO-KUPANG,-10.13794,123.87375
W0165,NTT,Kab. Sumba Timur,Kec. Kanatang,Kuta,PMO-SUMBATIMUR,-9.61913,120.22406
W0166,NTT,Kab. Sumba Timur,Kec. Katala Hamu Lingu,Matawai Amahu,PMO-SUMBATIMUR,-9.6989,120.28811
W0167,NTT,Kab. Sumba Timur,Kec. Kahaungu Eti,Matawai Katingga,PMO-SUMBATIMUR,-9.7201,120.29263
W0168,NTT,Kab. Sumba Timur,Kec. Umalulu,Watuhadang,PMO-SUMBATIMUR,-9.67283,120.3096
W0169,NTT,Kab. Sumba Timur,Kec. Kahaungu Eti,Kataka,PMO-SUMBATIMUR,-9.69022,120.20127
W0170,NTT,Kab. Sumba Timur,Kec. Umalulu,Matawai Atu,PMO-SUMBATIMUR,-9.57438,120.22032
W0171,NTT,Kab. Sumba Timur,Kec. Karera,Ananjaki,PMO-SUMBATIMUR,-9.64581,120.33831
W0172,NTT,Kab. Sumba Timur,Kec. Wulla Waijelu,Laipandak,PMO-SUMBATIMUR,-9.73913,120.34206
W0173,Kalimantan Timur,Kota Balikpapan,Kec. Karang,Giri Sari,PMO-BALIKPAPAN,-1.21708,116.86853
W0174,Kalimantan Timur,Kota Balikpapan,Kec. Mekar,Giri Indah,PMO-BALIKPAPAN,-1.18916,116.76383
W0175,Kalimantan Timur,Kota Balikpapan,Kec. Sumber,Cinta Sari,PMO-BALIKPAPAN,-1.21164,116.92633
W0176,Kalimantan Timur,Kota Balikpapan,Kec. Bahagia,Karang Mulya,PMO-BALIKPAPAN,-1.29436,116.89772
W0177,Kalimantan Timur,Kota Balikpapan,Kec. Sido,Wono Harjo,PMO-BALIKPAPAN,-1.239,116.93184
W0178,Kalimantan Timur,Kota Balikpapan,Kec. Sumber,Suka Kencana,PMO-BALIKPAPAN,-1.2257,116.89921
W0179,Kalimantan Timur,Kota Balikpapan,Kec. Karang,Mekar Jaya,PMO-BALIKPAPAN,-1.26965,116.80755
W0180,Kalimantan Timur,Kab. Kutai Kartanegara,Kec. Muara Muntai,Muara Aloh,PMO-KUTAIKARTA,-0.44382,116.98612
W0181,Kalimantan Timur,Kab. Kutai Kartanegara,Kec. Loa Janan,Purwajaya,PMO-KUTAIKARTA,-0.37593,117.09071
W0182,Kalimantan Timur,Kab. Kutai Kartanegara,Kec. Muara Kaman,Muara Kaman Ulu,PMO-KUTAIKARTA,-0.36455,117.0857
W0183,Kalimantan Timur,Kab. Kutai Kartanegara,Kec. Tabang,Muara Kebaq,PMO-KUTAIKARTA,-0.36422,116.93546
W0184,Kalimantan Timur,Kab. Kutai Kartanegara,Kec. Kenohan,Lamin Pulut,PMO-KUTAIKARTA,-0.33709,117.00093
W0185,Kalimantan Timur,Kab. Kutai Kartanegara,Kec. Loa Janan,Tani Harapan,PMO-KUTAIKARTA,-0.39852,117.00362
W0186,Kalimantan Timur,Kab. Kutai Kartanegara,Kec. Tenggarong,Bendang Raya,PMO-KUTAIKARTA,-0.3868,116.92955
W0187,Sumatera Barat,Kota Padang,Kec. Karang,Bahagia Jaya,PMO-PADANG,-0.861,100.44346
W0188,Sumatera Barat,Kota Padang,Kec. Karang,Bumi Mukti,PMO-PADANG,-0.88225,100.34855
W0189,Sumatera Barat,Kota Padang,Kec. Giri,Wono Harjo,PMO-PADANG,-0.96076,100.39547
W0190,Sumatera Barat,Kota Padang,Kec. Suka,Bahagia Damai,PMO-PADANG,-1.00001,100.34536
W0191,Sumatera Barat,Kota Padang,Kec. Sido,Suka Jaya,PMO-PADANG,-0.99495,100.49215
W0192,Sumatera Barat,Kota Padang,Kec. Cinta,Bumi Mukti,PMO-PADANG,-0.98301,100.33817
W0193,Sumatera Barat,Kota Padang,Kec. Bahagia,Bumi Harjo,PMO-PADANG,-0.97973,100.40214
W0194,Sumatera Barat,Kab. Agam,Kec. Palupuh,Pagadih,PMO-AGAM,-0.24205,100.12793
W0195,Sumatera Barat,Kab. Agam,Kec. Tanjung Raya,Sungai Batang,PMO-AGAM,-0.2407,100.17918
W0196,Sumatera Barat,Kab. Agam,Kec. Ampek Nagari,Sitalang,PMO-AGAM,-0.27633,100.12729
W0197,Sumatera Barat,Kab. Agam,Kec. Candung,Canduang Koto Laweh,PMO-AGAM,-0.28002,100.09809
W0198,Sumatera Barat,Kab. Agam,Kec. Baso,Tabek Panjang,PMO-AGAM,-0.31439,100.11621
