kabupaten_kota,kecamatan,desa,dimensi_sosial,dimensi_ekonomi,dimensi_lingkungan,skor_idm,status_idm
Kab. Deli Serdang,Kutalimbaru,Suka Makmur,0.8171,0.5167,0.5333,0.6224,Berkembang
Kab. Deli Serdang,Kutalimbaru,Namo Mirik,0.7029,0.6667,0.4667,0.6121,Berkembang
Kab. Deli Serdang,Kutalimbaru,Suka Dame,0.6514,0.5833,0.6,0.6116,Berkembang
Kab. Deli Serdang,Kutalimbaru,Pasar X,0.6743,0.7,0.5333,0.6359,Berkembang
Kab. Deli Serdang,Kutalimbaru,Perpanden,0.7714,0.6333,0.6667,0.6905,Berkembang
Kab. Deli Serdang,Kutalimbaru,Kutalimbaru,0.7829,0.6333,0.5333,0.6498,Berkembang
Kab. Deli Serdang,Kutalimbaru,Sampe Cita,0.7371,0.5833,0.6667,0.6624,Berkembang
Kab. Deli Serdang,Kutalimbaru,Suka Rende,0.7829,0.7,0.6667,0.7165,Maju
Kab. Deli Serdang,Kutalimbaru,Kwala Lau Bicik,0.8343,0.5,0.6667,0.667,Berkembang
Kab. Deli Serdang,Kutalimbaru,Lau Bekeri,0.7257,0.6667,0.6667,0.6863,Berkembang
Kab. Deli Serdang,Kutalimbaru,Silebo-Lebo,0.7886,0.6,0.6667,0.6851,Berkembang
Kab. Deli Serdang,Kutalimbaru,Sawit Rejo,0.8971,0.5833,0.6667,0.7157,Maju
Kab. Deli Serdang,Kutalimbaru,Namo Rube Julu,0.7714,0.5833,0.6,0.6516,Berkembang
Kab. Deli Serdang,Kutalimbaru,Sei Mencirim,0.8971,0.75,0.6667,0.7713,Maju
Kab. Deli Serdang,Pancur Batu,Bintang Meriah,0.7086,0.7,0.5333,0.6473,Berkembang
Kab. Deli Serdang,Pancur Batu,Sugau,0.7314,0.6333,0.6667,0.6771,Berkembang
Kab. Deli Serdang,Pancur Batu,Tiang Layar,0.7371,0.5667,0.6,0.6346,Berkembang
Kab. Deli Serdang,Pancur Batu,Durin Simbelang,0.84,0.6167,0.6667,0.7078,Maju
Kab. Deli Serdang,Pancur Batu,Namo Riam,0.7771,0.6333,0.6667,0.6924,Berkembang
Kab. Deli Serdang,Pancur Batu,Durin Tonggal,0.8171,0.6833,0.8,0.7668,Maju
Kab. Deli Serdang,Pancur Batu,Hulu,0.8686,0.7333,0.6667,0.7562,Maju
Kab. Deli Serdang,Pancur Batu,Pertampilen,0.7943,0.6333,0.6667,0.6981,Berkembang
Kab. Deli Serdang,Pancur Batu,Salam Tani,0.7257,0.6333,0.6667,0.6752,Berkembang
Kab. Deli Serdang,Pancur Batu,Tengah,0.88,0.9167,0.6667,0.8211,Mandiri
Kab. Deli Serdang,Pancur Batu,Namo Simpur,0.7429,0.7,0.6667,0.7032,Berkembang
Kab. Deli Serdang,Pancur Batu,Simalingkar A,0.7886,0.75,0.6667,0.7351,Maju
Kab. Deli Serdang,Pancur Batu,Namo Bintang,0.8686,0.7,0.6,0.7229,Maju
Kab. Deli Serdang,Pancur Batu,Lama,0.8286,0.7667,0.8667,0.8206,Mandiri
Kab. Deli Serdang,Pancur Batu,Namo Rih,0.8514,0.6,0.6,0.6838,Berkembang
Kab. Deli Serdang,Pancur Batu,Tuntungan I,0.8286,0.6,0.6667,0.6984,Berkembang
Kab. Deli Serdang,Pancur Batu,Gunung Tinggi,0.7943,0.6333,0.5333,0.6537,Berkembang
Kab. Deli Serdang,Pancur Batu,Tuntungan Ii,0.9429,0.7667,0.6667,0.7921,Maju
Kab. Deli Serdang,Pancur Batu,Durin Jangak,0.7829,0.7,0.6667,0.7165,Maju
Kab. Deli Serdang,Pancur Batu,Sembahe Baru,0.7943,0.6833,0.5333,0.6703,Berkembang
Kab. Deli Serdang,Pancur Batu,Tanjung Anom,0.9143,0.9333,0.6667,0.8381,Mandiri
Kab. Deli Serdang,Pancur Batu,Sei Glugur,0.8057,0.6,0.6667,0.6908,Berkembang
Kab. Deli Serdang,Pancur Batu,Suka Raya,0.8286,0.75,0.6667,0.7484,Maju
Kab. Deli Serdang,Pancur Batu,Baru,0.9257,0.8,0.8,0.8419,Mandiri
Kab. Deli Serdang,Pancur Batu,Perumnas Simalingkar,0.9086,0.7,0.6,0.7362,Maju
Kab. Deli Serdang,Namo Rambe,Deli Tua,0.9429,0.9,0.4,0.7476,Maju
Kab. Deli Serdang,Namo Rambe,Jati Kesuma,0.8914,0.6667,0.8667,0.8083,Maju
Kab. Deli Serdang,Namo Rambe,Namo Rambe,0.7943,0.7167,0.6667,0.7259,Maju
Kab. Deli Serdang,Namo Rambe,Gunung Kelawas,0.8114,0.5,0.6667,0.6594,Berkembang
Kab. Deli Serdang,Namo Rambe,Ujung Labuhan,0.7371,0.7,0.6667,0.7013,Berkembang
Kab. Deli Serdang,Namo Rambe,Lubang Ido,0.7829,0.5667,0.6667,0.6721,Berkembang
Kab. Deli Serdang,Namo Rambe,Silue-Lue,0.6914,0.5,0.6667,0.6194,Berkembang
Kab. Deli Serdang,Namo Rambe,Timbang Lawan,0.6971,0.55,0.6667,0.6379,Berkembang
Kab. Deli Serdang,Namo Rambe,Batu Mbelin,0.6686,0.5333,0.6667,0.6229,Berkembang
Kab. Deli Serdang,Namo Rambe,Namo Batang,0.7314,0.5667,0.6667,0.6549,Berkembang
Kab. Deli Serdang,Namo Rambe,Tanjung Selamat,0.6971,0.4333,0.6667,0.599,Berkembang
Kab. Deli Serdang,Namo Rambe,Bekukul,0.6914,0.65,0.6667,0.6694,Berkembang
Kab. Deli Serdang,Namo Rambe,Namo Pakam,0.6914,0.5333,0.6,0.6083,Berkembang
Kab. Deli Serdang,Namo Rambe,Suka Mulia Hilir,0.7143,0.5333,0.6667,0.6381,Berkembang
Kab. Deli Serdang,Namo Rambe,Suka Mulia Hulu,0.7029,0.5333,0.6,0.6121,Berkembang
Kab. Deli Serdang,Namo Rambe,Rumah Mbacang,0.7086,0.4667,0.6667,0.614,Berkembang
Kab. Deli Serdang,Namo Rambe,Cinta Rakyat,0.68,0.4667,0.6667,0.6044,Berkembang
Kab. Deli Serdang,Namo Rambe,Batu Penjemuran,0.8743,0.6667,0.6667,0.7359,Maju
Kab. Deli Serdang,Namo Rambe,Kuta Tengah,0.7714,0.6833,0.5333,0.6627,Berkembang
Kab. Deli Serdang,Namo Rambe,Namo Landur,0.7371,0.6833,0.6667,0.6957,Berkembang
Kab. Deli Serdang,Namo Rambe,Gunung Berita,0.7771,0.3667,0.6667,0.6035,Berkembang
Kab. Deli Serdang,Namo Rambe,Tangkahan,0.7943,0.4167,0.6667,0.6259,Berkembang
Kab. Deli Serdang,Namo Rambe,Uruk Gedang,0.7771,0.4667,0.8667,0.7035,Berkembang
Kab. Deli Serdang,Namo Rambe,Rumah Keben,0.7086,0.5333,0.6667,0.6362,Berkembang
Kab. Deli Serdang,Namo Rambe,Namo Pinang,0.7714,0.55,0.6667,0.6627,Berkembang
Kab. Deli Serdang,Namo Rambe,Sudi Rejo,0.7771,0.5833,0.6667,0.6757,Berkembang
Kab. Deli Serdang,Namo Rambe,Jaba,0.7314,0.5,0.6667,0.6327,Berkembang
Kab. Deli Serdang,Namo Rambe,Kuta Tualah,0.7086,0.5667,0.6667,0.6473,Berkembang
Kab. Deli Serdang,Namo Rambe,Kwala Simeme,0.76,0.55,0.6667,0.6589,Berkembang
Kab. Deli Serdang,Namo Rambe,Batu Gemuk,0.7486,0.5333,0.6,0.6273,Berkembang
Kab. Deli Serdang,Namo Rambe,Lau Mulgap,0.7086,0.4833,0.6667,0.6195,Berkembang
Kab. Deli Serdang,Namo Rambe,Batu Rejo,0.7429,0.4333,0.6667,0.6143,Berkembang
Kab. Deli Serdang,Namo Rambe,Salang Tungir,0.7314,0.5167,0.6667,0.6383,Berkembang
Kab. Deli Serdang,Namo Rambe,Namo Mbaru,0.7029,0.4333,0.6667,0.601,Berkembang
Kab. Deli Serdang,Namo Rambe,Rimo  Mungkur,0.7771,0.5333,0.6667,0.659,Berkembang
Kab. Deli Serdang,Namo Rambe,Namo Mbelin,0.7543,0.5,0.6667,0.6403,Berkembang
Kab. Deli Serdang,Biru-Biru,Aji Baho,0.7886,0.6167,0.6667,0.6906,Berkembang
Kab. Deli Serdang,Biru-Biru,Biru-Biru,0.7657,0.65,0.6667,0.6941,Berkembang
Kab. Deli Serdang,Biru-Biru,Candi Rejo,0.8,0.6667,0.8667,0.7778,Maju
Kab. Deli Serdang,Biru-Biru,Kutomulyo,0.8229,0.6,0.6667,0.6965,Berkembang
Kab. Deli Serdang,Biru-Biru,Kuala Dekah,0.6571,0.5333,0.6667,0.619,Berkembang
Kab. Deli Serdang,Biru-Biru,Mbaruai,0.8,0.7333,0.6,0.7111,Maju
Kab. Deli Serdang,Biru-Biru,Mardinding Julu,0.7314,0.6,0.5333,0.6216,Berkembang
Kab. Deli Serdang,Biru-Biru,Namo Suro Baru,0.7486,0.6167,0.6,0.6551,Berkembang
Kab. Deli Serdang,Biru-Biru,Peria-Ria,0.8,0.6,0.6,0.6667,Berkembang
Kab. Deli Serdang,Biru-Biru,Penen,0.8057,0.6667,0.6,0.6908,Berkembang
Kab. Deli Serdang,Biru-Biru,Rumah Gerat,0.7657,0.6333,0.6,0.6663,Berkembang
Kab. Deli Serdang,Biru-Biru,Sidodadi,0.8743,0.8167,0.6667,0.7859,Maju
Kab. Deli Serdang,Biru-Biru,Sidomulyo,0.88,0.7333,0.6667,0.76,Maju
Kab. Deli Serdang,Biru-Biru,Selamat,0.8457,0.6333,0.6667,0.7152,Maju
Kab. Deli Serdang,Biru-Biru,Sarilaba Jahe,0.7314,0.6167,0.6667,0.6716,Berkembang
Kab. Deli Serdang,Biru-Biru,Tanjung Sena,0.8571,0.6,0.8,0.7524,Maju
Kab. Deli Serdang,Biru-Biru,Namo Tualang,0.8343,0.6167,0.6667,0.7059,Berkembang
Kab. Deli Serdang,Stm Hilir,Talun Kenas,0.8914,0.8333,0.5333,0.7527,Maju
Kab. Deli Serdang,Stm Hilir,Gunung Rintih,0.7886,0.7,0.6,0.6962,Berkembang
Kab. Deli Serdang,Stm Hilir,Sumbul,0.8457,0.6667,0.6,0.7041,Berkembang
Kab. Deli Serdang,Stm Hilir,Tadukan Raga,0.8343,0.6667,0.6,0.7003,Berkembang
Kab. Deli Serdang,Stm Hilir,Limau Mungkur,0.9143,0.5,0.6667,0.6937,Berkembang
Kab. Deli Serdang,Stm Hilir,Negara Beringin,0.84,0.7167,0.6,0.7189,Maju
Kab. Deli Serdang,Stm Hilir,Lau Barus Baru,0.7943,0.5333,0.6667,0.6648,Berkembang
Kab. Deli Serdang,Stm Hilir,Juma Tombak,0.8171,0.5333,0.6667,0.6724,Berkembang
Kab. Deli Serdang,Stm Hilir,Siguci,0.7714,0.6333,0.8,0.7349,Maju
Kab. Deli Serdang,Stm Hilir,Kuta Jurung,0.7029,0.6333,0.6667,0.6676,Berkembang
Kab. Deli Serdang,Stm Hilir,Tala Peta,0.7086,0.6333,0.6667,0.6695,Berkembang
Kab. Deli Serdang,Stm Hilir,Lau Rakit,0.7429,0.6833,0.6,0.6754,Berkembang
Kab. Deli Serdang,Stm Hilir,Penungkiren,0.72,0.5833,0.8,0.7011,Berkembang
Kab. Deli Serdang,Stm Hilir,Rambai,0.7543,0.6333,0.6,0.6625,Berkembang
Kab. Deli Serdang,Stm Hilir,Lau Rempak,0.76,0.5,0.6,0.62,Berkembang
Kab. Deli Serdang,Bangun Purba,Bah Perak,0.7371,0.4167,0.8667,0.6735,Berkembang
Kab. Deli Serdang,Bangun Purba,Bandar Kwala,0.84,0.6333,0.6667,0.7133,Maju
Kab. Deli Serdang,Bangun Purba,Bah Balua,0.7543,0.6167,0.6,0.657,Berkembang
Kab. Deli Serdang,Bangun Purba,Bandar Gugung,0.7771,0.4667,0.6,0.6146,Berkembang
Kab. Deli Serdang,Bangun Purba,Bandar Meriah,0.8286,0.5,0.6667,0.6651,Berkembang
Kab. Deli Serdang,Bangun Purba,Batu Gingging,0.7714,0.5333,0.6667,0.6571,Berkembang
Kab. Deli Serdang,Bangun Purba,Bangun Purba,0.7429,0.7167,0.8667,0.7754,Maju
Kab. Deli Serdang,Bangun Purba,Bangun Purba Tengah,0.7543,0.3667,0.8667,0.6625,Berkembang
Kab. Deli Serdang,Bangun Purba,Begerpang,0.7657,0.5333,0.6667,0.6552,Berkembang
Kab. Deli Serdang,Bangun Purba,Batu Rata,0.7714,0.4333,0.6667,0.6238,Berkembang
Kab. Deli Serdang,Bangun Purba,Cimahi,0.6971,0.5,0.6667,0.6213,Berkembang
Kab. Deli Serdang,Bangun Purba,Damak Maliho,0.7886,0.6,0.5333,0.6406,Berkembang
Kab. Deli Serdang,Bangun Purba,Greahan,0.7314,0.4667,0.8667,0.6883,Berkembang
Kab. Deli Serdang,Bangun Purba,Marombun Ujung Jawi,0.8229,0.5,0.6,0.641,Berkembang
Kab. Deli Serdang,Bangun Purba,Marombun Barat,0.6514,0.5667,0.6667,0.6283,Berkembang
Kab. Deli Serdang,Bangun Purba,Mabar,0.7543,0.6,0.6,0.6514,Berkembang
Kab. Deli Serdang,Bangun Purba,Perguroan,0.8343,0.6333,0.4667,0.6448,Berkembang
Kab. Deli Serdang,Bangun Purba,Rumah Deleng,0.8,0.4333,0.6667,0.6333,Berkembang
Kab. Deli Serdang,Bangun Purba,Sibaganding,0.8,0.6333,0.6,0.6778,Berkembang
Kab. Deli Serdang,Bangun Purba,Sialang,0.8,0.6833,0.6667,0.7167,Maju
Kab. Deli Serdang,Bangun Purba,Sukaluwei,0.6914,0.45,0.8,0.6471,Berkembang
Kab. Deli Serdang,Bangun Purba,Tanjung Purba,0.7829,0.5333,0.6667,0.661,Berkembang
Kab. Deli Serdang,Bangun Purba,Urung Ganjang,0.8,0.4333,0.6,0.6111,Berkembang
Kab. Deli Serdang,Bangun Purba,Ujung Rambe,0.8743,0.45,0.6667,0.6637,Berkembang
Kab. Deli Serdang,Galang,Tanjung Gusti,0.7543,0.5667,0.6667,0.6625,Berkembang
Kab. Deli Serdang,Galang,Baru Titi Besi,0.8057,0.5333,0.6,0.6463,Berkembang
Kab. Deli Serdang,Galang,Bandar Kuala,0.7543,0.55,0.6667,0.657,Berkembang
Kab. Deli Serdang,Galang,Batu Lokong,0.8057,0.6,0.6667,0.6908,Berkembang
Kab. Deli Serdang,Galang,Galang Suka,0.7371,0.9333,0.6667,0.779,Maju
Kab. Deli Serdang,Galang,Galang Barat,0.8343,0.5667,0.6667,0.6892,Berkembang
Kab. Deli Serdang,Galang,Jaharun A,0.88,0.6167,0.8667,0.7878,Maju
Kab. Deli Serdang,Galang,Jaharun B,0.8914,0.7,0.6667,0.7527,Maju
Kab. Deli Serdang,Galang,Juhar Baru,0.76,0.5167,0.6,0.6256,Berkembang
Kab. Deli Serdang,Galang,Kramat Gajah,0.8114,0.5667,0.9333,0.7705,Maju
Kab. Deli Serdang,Galang,Kotasan,0.7771,0.7,0.6667,0.7146,Maju
Kab. Deli Serdang,Galang,Kotangan,0.7486,0.6,0.6667,0.6717,Berkembang
Kab. Deli Serdang,Galang,Kelapa Satu,0.7257,0.65,0.6667,0.6808,Berkembang
Kab. Deli Serdang,Galang,Nogorejo,0.84,0.65,0.6667,0.7189,Maju
Kab. Deli Serdang,Galang,Paku,0.8914,0.6167,0.6667,0.7249,Maju
Kab. Deli Serdang,Galang,Petumbukan,0.9314,0.8667,0.6667,0.8216,Mandiri
Kab. Deli Serdang,Galang,Petangguhan,0.8571,0.6,0.6667,0.7079,Maju
Kab. Deli Serdang,Galang,Pisang Pala,0.7714,0.65,0.6667,0.696,Berkembang
Kab. Deli Serdang,Galang,Paya Itik,0.8114,0.5833,0.6667,0.6871,Berkembang
Kab. Deli Serdang,Galang,Pulo Tagor Baru,0.8,0.6333,0.6,0.6778,Berkembang
Kab. Deli Serdang,Galang,Paya Kuda,0.8229,0.5833,0.6667,0.691,Berkembang
Kab. Deli Serdang,Galang,Paya Sampir,0.8057,0.4333,0.6667,0.6352,Berkembang
Kab. Deli Serdang,Galang,Sei Putih,0.7657,0.6333,0.6667,0.6886,Berkembang
Kab. Deli Serdang,Galang,Sei Karang,0.8286,0.6,0.6667,0.6984,Berkembang
Kab. Deli Serdang,Galang,Tanah  Abang,0.7314,0.65,0.6,0.6605,Berkembang
Kab. Deli Serdang,Galang,Timbang Deli,0.8114,0.6167,0.6667,0.6983,Berkembang
Kab. Deli Serdang,Galang,Tanah Merah,0.7771,0.6833,0.6667,0.709,Maju
Kab. Deli Serdang,Galang,Tanjung Siporkis,0.7943,0.5667,0.6667,0.6759,Berkembang
Kab. Deli Serdang,Stm Hulu,Tiga Juhar,0.7943,0.7667,0.6,0.7203,Maju
Kab. Deli Serdang,Stm Hulu,Tanjung Bampu,0.7657,0.45,0.6,0.6052,Berkembang
Kab. Deli Serdang,Stm Hulu,Rumah Rih,0.7429,0.7833,0.6667,0.731,Maju
Kab. Deli Serdang,Stm Hulu,Liang Muda,0.8286,0.4833,0.6667,0.6595,Berkembang
Kab. Deli Serdang,Stm Hulu,Durian Iv Mbelang,0.7486,0.5667,0.6667,0.6606,Berkembang
Kab. Deli Serdang,Stm Hulu,Tanah Gara Hulu,0.8114,0.5833,0.8667,0.7538,Maju
Kab. Deli Serdang,Stm Hulu,Gunung Manumpak A,0.8514,0.5167,0.6,0.656,Berkembang
Kab. Deli Serdang,Stm Hulu,Bah Bah Buntu,0.68,0.5833,0.6,0.6211,Berkembang
Kab. Deli Serdang,Stm Hulu,Tanjung Muda,0.7257,0.45,0.8,0.6586,Berkembang
Kab. Deli Serdang,Stm Hulu,Tanjung Raja,0.6971,0.5667,0.6667,0.6435,Berkembang
Kab. Deli Serdang,Stm Hulu,Kuta Mbelin,0.8114,0.75,0.6,0.7205,Maju
Kab. Deli Serdang,Stm Hulu,Rumah Sumbul,0.88,0.65,0.8667,0.7989,Maju
Kab. Deli Serdang,Stm Hulu,Ranggit-Git,0.7886,0.6833,0.6667,0.7129,Maju
Kab. Deli Serdang,Stm Hulu,Liang Pematang,0.7086,0.5,0.6667,0.6251,Berkembang
Kab. Deli Serdang,Stm Hulu,Gunung Manumpak B,0.7371,0.4833,0.6667,0.629,Berkembang
Kab. Deli Serdang,Stm Hulu,Rumah Lengo,0.8457,0.6333,0.8667,0.7819,Maju
Kab. Deli Serdang,Stm Hulu,Sipinggan,0.8171,0.7333,0.6,0.7168,Maju
Kab. Deli Serdang,Stm Hulu,Tanjung Timur,0.7257,0.5833,0.6667,0.6586,Berkembang
Kab. Deli Serdang,Stm Hulu,Durian Tinggung,0.8,0.8,0.6,0.7333,Maju
Kab. Deli Serdang,Stm Hulu,Sibunga Bunga Hilir,0.7657,0.5333,0.6667,0.6552,Berkembang
Kab. Deli Serdang,Patumbak,Lantasan Baru,0.7543,0.7333,0.5333,0.6737,Berkembang
Kab. Deli Serdang,Patumbak,Patumbak  I,0.8229,0.6667,0.6667,0.7187,Maju
Kab. Deli Serdang,Patumbak,Patumbak Ii,0.7657,0.7,0.6,0.6886,Berkembang
Kab. Deli Serdang,Patumbak,Lantasan Lama,0.7314,0.6667,0.4,0.5994,Berkembang
Kab. Deli Serdang,Patumbak,Sigara-Gara,0.8457,0.4167,0.6667,0.643,Berkembang
Kab. Deli Serdang,Patumbak,Marindal  I,0.8514,0.8,0.5333,0.7283,Maju
Kab. Deli Serdang,Patumbak,Marindal  Ii,0.88,0.85,0.5333,0.7544,Maju
Kab. Deli Serdang,Patumbak,Patumbak Kampung,0.9257,0.5667,0.4667,0.653,Berkembang
Kab. Deli Serdang,Deli Tua,Kedai Durian,0.8057,0.7,0.8,0.7686,Maju
Kab. Deli Serdang,Deli Tua,Suka Makmur,0.8743,0.7,0.7333,0.7692,Maju
Kab. Deli Serdang,Deli Tua,Mekar Sari,0.88,0.65,0.6,0.71,Maju
Kab. Deli Serdang,Sunggal,Sei Semayang,0.9657,0.95,0.6,0.8386,Mandiri
Kab. Deli Serdang,Sunggal,Lalang,0.8114,0.7833,0.8667,0.8205,Mandiri
Kab. Deli Serdang,Sunggal,Puji Mulyo,0.7943,0.7,0.6667,0.7203,Maju
Kab. Deli Serdang,Sunggal,Paya Geli,0.8286,0.8833,0.8,0.8373,Mandiri
Kab. Deli Serdang,Sunggal,Mulio Rejo,0.92,0.9167,0.6667,0.8344,Mandiri
Kab. Deli Serdang,Sunggal,Purwodadi,0.8571,0.7167,0.6,0.7246,Maju
